sentence1	PPL1	Sentence2	PPL2	Correct
Kayla explains Steven won't hurt herself.	6.134954452514648	Steven explains Kayla won't hurt herself.	5.75620174407959	correct
Alan explains Gina fires himself.	9.202719688415527	Gina explains Alan fires himself.	8.660322189331055	correct
Alice did think Paul hugs herself.	7.415069580078125	Paul did think Alice hugs herself.	7.464749813079834	incorrect
Carla's ex-boyfriend imagines Beverly hates himself.	5.295245170593262	Beverly imagines Carla's ex-boyfriend hates himself.	4.654025077819824	correct
Kayla imagines Randolf sounds like herself.	6.238109111785889	Randolf imagines Kayla sounds like herself.	6.331730842590332	incorrect
Kevin explains Tonya would boast about himself.	6.480135917663574	Tonya explains Kevin would boast about himself.	6.423745155334473	correct
Katherine can explain Adam will describe herself.	7.5869951248168945	Adam can explain Katherine will describe herself.	6.989695072174072	correct
Every guy could say Nancy hides himself.	7.561929225921631	Nancy could say every guy hides himself.	7.2161149978637695	correct
Lawrence says Claire attacks himself.	8.033052444458008	Claire says Lawrence attacks himself.	7.402203559875488	correct
Gerald explains Donna could boast about himself.	7.947854042053223	Donna explains Gerald could boast about himself.	6.856325626373291	correct
Steve did explain Rachel couldn't praise himself.	6.744300842285156	Rachel did explain Steve couldn't praise himself.	6.244502544403076	correct
Caroline would imagine Jeffrey watches herself.	8.92997932434082	Jeffrey would imagine Caroline watches herself.	8.38609504699707	correct
Wayne should think Martha conceals himself.	7.482107162475586	Martha should think Wayne conceals himself.	7.411662578582764	correct
Bill imagines Maria praises himself.	7.737298488616943	Maria imagines Bill praises himself.	6.952653408050537	correct
Ronald could explain Jill will hide himself.	7.9160475730896	Jill could explain Ronald will hide himself.	7.576653480529785	correct
Liam imagines Teresa didn't distract himself.	7.28770637512207	Teresa imagines Liam didn't distract himself.	6.361588478088379	correct
Melanie couldn't imagine Andrew's father could conceal herself.	6.042726039886475	Andrew's father couldn't imagine Melanie could conceal herself.	5.778018474578857	correct
Carmen explains Carl might approach herself.	7.311641693115234	Carl explains Carmen might approach herself.	8.390316009521484	incorrect
George should explain Amelia kisses himself.	8.3363676071167	Amelia should explain George kisses himself.	8.361949920654297	incorrect
Eric says Susan helps himself.	7.526989936828613	Susan says Eric helps himself.	7.028023719787598	correct
