sentence1	PPL1	Sentence2	PPL2	Correct
Should the doctor the council support would wait?	7.007399559020996	Would the doctor the council should support wait?	6.469606399536133	correct
Can't the prince the student believe would report the news?	7.730384349822998	Would the prince the student can't believe report the news?	6.318256855010986	correct
Might the doctor the child ask could buy the book?	6.969185829162598	Could the doctor the child might ask buy the book?	6.0198588371276855	correct
Might the father the child follow won't write the book?	6.815155982971191	Won't the father the child might follow write the book?	6.022860527038574	correct
Must the girl the student join won't arrive?	6.906704902648926	Won't the girl the student must join arrive?	7.169732093811035	incorrect
Does the player the other player reach out to might sell the car?	6.247323036193848	Might the player the other player does reach out to sell the car?	6.505399227142334	incorrect
Didn't the professor the captain lead couldn't support the position?	6.2486982345581055	Couldn't the professor the captain didn't lead support the position?	5.959551811218262	correct
Shouldn't the father the teacher call won't talk?	5.457996368408203	Won't the father the teacher shouldn't call talk?	5.783308982849121	incorrect
Mustn't the president the student follow must meet the team?	6.266903877258301	Must the president the student mustn't follow meet the team?	6.570765495300293	incorrect
Mustn't the king the child follow can sit?	6.041415691375732	Can the king the child mustn't follow sit?	7.796809673309326	incorrect
Will the player the other player hit shouldn't reach the agreement?	6.835175514221191	Shouldn't the player the other player will hit reach the agreement?	6.330586910247803	correct
Can the father the teacher invite would help the family?	6.842831611633301	Would the father the teacher can invite help the family?	6.422436714172363	correct
Did the king the woman marry doesn't hold the line?	5.3808913230896	Doesn't the king the woman did marry hold the line?	5.794489860534668	incorrect
Couldn't the professor the friend trust can sit?	6.579040050506592	Can the professor the friend couldn't trust sit?	7.731611728668213	incorrect
Won't the wife the president invite would reach the goal?	6.602075099945068	Would the wife the president won't invite reach the goal?	6.4334259033203125	correct
Won't the doctor the student trust might move to the house?	5.090828895568848	Might the doctor the student won't trust move to the house?	6.460061550140381	incorrect
Might the prince the friend tell the story to does keep the record?	7.057003974914551	Does the prince the friend might tell the story to keep the record?	5.175184726715088	correct
Doesn't the president the soldier attack might trust the assistant?	6.0844244956970215	Might the president the soldier doesn't attack trust the assistant?	7.455187797546387	incorrect
Can't the lady the player trust could leave?	7.536885738372803	Could the lady the player can't trust leave?	6.721851348876953	correct
Couldn't the mother the child see did end the war?	5.75032901763916	Did the mother the child couldn't see end the war?	5.688506126403809	correct
Won't the prince the student trust might believe the story?	5.819566249847412	Might the prince the student won't trust believe the story?	7.217853546142578	incorrect
Can't the doctor the student follow did serve the people?	7.254401683807373	Did the doctor the student can't follow serve the people?	6.7497711181640625	correct
Shouldn't the princess the leader lead may fight for the cup?	6.228927135467529	May the princess the leader shouldn't lead fight for the cup?	6.4849958419799805	incorrect
Couldn't the mother the woman believe in may study the science?	5.975335121154785	May the mother the woman couldn't believe in study the science?	5.641775131225586	correct
Could the president the other president meet won't choose the team?	6.134944915771484	Won't the president the other president could meet choose the team?	6.622824668884277	incorrect
Did the professor the player join mustn't walk?	6.449466228485107	Mustn't the professor the player did join walk?	7.323430061340332	incorrect
Won't the wife the doctor understand shouldn't work?	5.155498027801514	Shouldn't the wife the doctor won't understand work?	5.356751918792725	incorrect
Couldn't the professor the army kill didn't sit?	6.0914788246154785	Didn't the professor the army couldn't kill sit?	6.162242889404297	incorrect
Doesn't the man the council support won't eat the food?	4.645435810089111	Won't the man the council doesn't support eat the food?	5.274106025695801	incorrect
Might the professor the parent like mustn't rest?	8.190802574157715	Mustn't the professor the parent might like rest?	6.208235740661621	correct
Might the girl the friend call won't describe the picture?	7.169801235198975	Won't the girl the friend might call describe the picture?	6.033511161804199	correct
Didn't the president the man believe in won't try the method?	5.894705295562744	Won't the president the man didn't believe in try the method?	5.674557685852051	correct
Shouldn't the doctor the friend trust can't wait?	5.635283946990967	Can't the doctor the friend shouldn't trust wait?	6.830292701721191	incorrect
Couldn't the boy the doctor help mustn't wait?	5.109788417816162	Mustn't the boy the doctor couldn't help wait?	5.0420684814453125	correct
Should the mother the player hit mustn't sit?	7.306046485900879	Mustn't the mother the player should hit sit?	7.187420845031738	correct
Might the daughter the student understand couldn't travel?	7.9231858253479	Couldn't the daughter the student might understand travel?	7.200968265533447	correct
Will the brother the student ask can sit?	7.705489158630371	Can the brother the student will ask sit?	8.178691864013672	incorrect
Could the brother the child ask didn't travel?	5.9626593589782715	Didn't the brother the child could ask travel?	6.556746482849121	incorrect
Could the doctor the player join doesn't write the letter?	5.747931003570557	Doesn't the doctor the player could join write the letter?	5.72650146484375	correct
Did the doctor the president lead could love the music?	6.4275102615356445	Could the doctor the president did lead love the music?	6.729345798492432	incorrect
Did the wife the man hit should rest?	6.8942670822143555	Should the wife the man did hit rest?	7.236678123474121	incorrect
Might the professor the council support may show the support to the man?	6.988768577575684	May the professor the council might support show the support to the man?	6.368534088134766	correct
Can't the professor the professor teach may put the name on the book?	5.4684319496154785	May the professor the professor can't teach put the name on the book?	5.253781318664551	correct
Mustn't the wife the mother tell the story to can't sell the goods?	5.297390460968018	Can't the wife the mother mustn't tell the story to sell the goods?	5.549261569976807	incorrect
Won't the professor the woman love can't stand?	5.523371696472168	Can't the professor the woman won't love stand?	6.659765720367432	incorrect
Doesn't the prince the president invite didn't live with the family?	5.38038444519043	Didn't the prince the president doesn't invite live with the family?	5.800655364990234	incorrect
May the professor the soldier attack couldn't travel?	6.3381218910217285	Couldn't the professor the soldier may attack travel?	6.652072906494141	incorrect
Could the king the teacher tell the story to might open the account?	5.420241355895996	Might the king the teacher could tell the story to open the account?	6.1156086921691895	incorrect
Did the mother the father tell the story to mustn't swim?	5.376054286956787	Mustn't the mother the father did tell the story to swim?	5.12897253036499	correct
Will the girl the doctor help does earn the money?	5.983980655670166	Does the girl the doctor will help earn the money?	5.004793643951416	correct
Can the princess the leader meet shouldn't feed the birds?	6.639476776123047	Shouldn't the princess the leader can meet feed the birds?	5.87655782699585	correct
Mustn't the mother the soldier attack can't lie down?	5.904084205627441	Can't the mother the soldier mustn't attack lie down?	6.546271800994873	incorrect
Didn't the mother the teacher understand mustn't fight for the title?	5.6652421951293945	Mustn't the mother the teacher didn't understand fight for the title?	5.482001304626465	correct
Doesn't the princess the player hit can't work?	5.920543670654297	Can't the princess the player doesn't hit work?	7.238297939300537	incorrect
Shouldn't the father the student ask will swim?	6.465908050537109	Will the father the student shouldn't ask swim?	7.592191219329834	incorrect
Couldn't the wife the player hit can't run?	6.1268157958984375	Can't the wife the player couldn't hit run?	7.529744625091553	incorrect
Could the president the student see shouldn't send the news?	6.137053966522217	Shouldn't the president the student could see send the news?	6.092443943023682	correct
Did the wife the student join must travel?	7.341130256652832	Must the wife the student did join travel?	7.733007431030273	incorrect
Mustn't the lady the player trust can't perform the song?	5.842452049255371	Can't the lady the player mustn't trust perform the song?	7.0737128257751465	incorrect
Should the brother the teacher teach can't make the money?	6.363046646118164	Can't the brother the teacher should teach make the money?	7.158156394958496	incorrect
Won't the player the government support might support the family?	6.171175956726074	Might the player the government won't support support the family?	6.520341873168945	incorrect
Does the king the student believe in can work?	6.167937278747559	Can the king the student does believe in work?	7.622190952301025	incorrect
Couldn't the boy the president meet can lie down?	5.8842034339904785	Can the boy the president couldn't meet lie down?	6.907806396484375	incorrect
Doesn't the brother the teacher tell the story to can work?	5.145322322845459	Can the brother the teacher doesn't tell the story to work?	5.921435356140137	incorrect
Might the king the player hit can read the paper?	7.635317802429199	Can the king the player might hit read the paper?	7.118348598480225	correct
Should the professor the woman see did manage the project?	6.966277122497559	Did the professor the woman should see manage the project?	6.946557521820068	correct
May the father the teacher ask can move?	6.239741802215576	Can the father the teacher may ask move?	8.037483215332031	incorrect
Shouldn't the president the teacher teach does keep the record?	6.343169212341309	Does the president the teacher shouldn't teach keep the record?	6.266506671905518	correct
Does the brother the police find could play with the team?	5.726824760437012	Could the brother the police does find play with the team?	6.167534828186035	incorrect
Would the girl the teacher understand could add the number?	5.815685749053955	Could the girl the teacher would understand add the number?	6.319589138031006	incorrect
Would the princess the minister serve shouldn't send the letter?	6.4460272789001465	Shouldn't the princess the minister would serve send the letter?	6.228341579437256	correct
Does the daughter the government support mustn't watch the television?	6.180421352386475	Mustn't the daughter the government does support watch the television?	6.509444713592529	incorrect
Will the lady the boy hit shouldn't wait?	6.251260757446289	Shouldn't the lady the boy will hit wait?	5.820716857910156	correct
Would the man the friend support must rest?	6.603694438934326	Must the man the friend would support rest?	7.099526405334473	incorrect
Must the doctor the teacher meet couldn't move?	6.490408897399902	Couldn't the doctor the teacher must meet move?	6.358974933624268	correct
Couldn't the wife the student find could arrive?	6.857778072357178	Could the wife the student couldn't find arrive?	6.557990074157715	correct
Mustn't the doctor the student ask won't move?	6.085427761077881	Won't the doctor the student mustn't ask move?	6.477591037750244	incorrect
Couldn't the wife the man love must marry the woman?	5.526947021484375	Must the wife the man couldn't love marry the woman?	5.955248832702637	incorrect
Will the president the parent love might study the language?	6.7911376953125	Might the president the parent will love study the language?	7.244356632232666	incorrect
Shouldn't the woman the student join will wait?	6.1612162590026855	Will the woman the student shouldn't join wait?	7.166476726531982	incorrect
Didn't the brother the teacher understand should lead the group?	5.943084716796875	Should the brother the teacher didn't understand lead the group?	6.829532623291016	incorrect
Did the king the man marry will talk?	6.106506824493408	Will the king the man did marry talk?	6.9840497970581055	incorrect
Might the doctor the woman see did wait?	8.039873123168945	Did the doctor the woman might see wait?	6.236605644226074	correct
Shouldn't the professor the council support didn't work?	5.751870155334473	Didn't the professor the council shouldn't support work?	6.169058322906494	incorrect
Can the father the teacher invite would travel?	8.221339225769043	Would the father the teacher can invite travel?	7.176817893981934	correct
Should the president the woman love will play with the team?	6.263570308685303	Will the president the woman should love play with the team?	6.323421478271484	incorrect
Might the mother the worker serve will leave?	9.090802192687988	Will the mother the worker might serve leave?	7.995294570922852	correct
Can the king the woman marry may work?	7.84087610244751	May the king the woman can marry work?	6.149199485778809	correct
Must the doctor the teacher understand couldn't allow the access?	6.7011942863464355	Couldn't the doctor the teacher must understand allow the access?	6.641377925872803	correct
Can the president the teacher invite will try the method?	7.395423889160156	Will the president the teacher can invite try the method?	7.135241985321045	correct
Might the king the student join may lie down?	7.8851447105407715	May the king the student might join lie down?	6.499960899353027	correct
Doesn't the doctor the soldier kill can start the program?	5.960784912109375	Can the doctor the soldier doesn't kill start the program?	6.68996524810791	incorrect
Must the doctor the teacher ask didn't earn the money?	5.545402526855469	Didn't the doctor the teacher must ask earn the money?	5.6099677085876465	incorrect
Does the daughter the teacher tell the story to could protect the people?	5.077477931976318	Could the daughter the teacher does tell the story to protect the people?	5.2243804931640625	incorrect
Does the doctor the player trust must leave?	6.494397163391113	Must the doctor the player does trust leave?	7.764342784881592	incorrect
May the president the worker serve will talk?	7.78444766998291	Will the president the worker may serve talk?	7.878366470336914	incorrect
Might the player the mother tell the story to does lie down?	6.866978168487549	Does the player the mother might tell the story to lie down?	5.273820400238037	correct
Might the princess the student watch did fight for the title?	7.63078498840332	Did the princess the student might watch fight for the title?	7.134156703948975	correct
Might the doctor the council support would stay?	7.794345378875732	Would the doctor the council might support stay?	6.826205730438232	correct
Must the professor the teacher meet might close the eyes?	7.624525547027588	Might the professor the teacher must meet close the eyes?	7.364162445068359	correct
Will the wife the student call mustn't draw the line?	6.3799357414245605	Mustn't the wife the student will call draw the line?	6.268054962158203	correct
Will the king the teacher understand does stand?	7.590170860290527	Does the king the teacher will understand stand?	6.743948936462402	correct
Did the professor the player follow couldn't lie down?	5.941005229949951	Couldn't the professor the player did follow lie down?	6.817287445068359	incorrect
Should the girl the team attack might follow the plan?	7.049108505249023	Might the girl the team should attack follow the plan?	7.601263046264648	incorrect
Mustn't the professor the student understand should attack the city?	6.532473564147949	Should the professor the student mustn't understand attack the city?	7.530139923095703	incorrect
Did the boy the student understand can't fight for the cup?	6.1138224601745605	Can't the boy the student did understand fight for the cup?	7.6282501220703125	incorrect
Did the princess the government support can't explain the process?	6.3412394523620605	Can't the princess the government did support explain the process?	7.936408042907715	incorrect
Couldn't the professor the leader meet mustn't give the speech?	6.166418075561523	Mustn't the professor the leader couldn't meet give the speech?	6.175480842590332	incorrect
Can the father the parent support must sit?	8.225311279296875	Must the father the parent can support sit?	7.6848602294921875	correct
Mustn't the girl the army kill should sit?	6.725914001464844	Should the girl the army mustn't kill sit?	6.906318664550781	incorrect
Should the president the teacher call could call the friend?	7.319300174713135	Could the president the teacher should call call the friend?	6.644267559051514	correct
Did the professor the student see shouldn't walk?	6.929678916931152	Shouldn't the professor the student did see walk?	6.973052501678467	incorrect
Won't the player the teacher understand will meet the team?	6.108168125152588	Will the player the teacher won't understand meet the team?	6.565112113952637	incorrect
Must the man the parent help doesn't throw the stone?	6.1392669677734375	Doesn't the man the parent must help throw the stone?	5.861854553222656	correct
Can the brother the teacher help mustn't show the interest in the man?	5.889134883880615	Mustn't the brother the teacher can help show the interest in the man?	5.3089094161987305	correct
Should the doctor the parent help won't stop the car?	5.651565074920654	Won't the doctor the parent should help stop the car?	5.736830234527588	incorrect
Couldn't the doctor the coach teach could build the team?	5.86740255355835	Could the doctor the coach couldn't teach build the team?	6.584264755249023	incorrect
Would the lady the president invite can't cut the cost?	6.416698455810547	Can't the lady the president would invite cut the cost?	7.6932549476623535	incorrect
May the president the police find must teach the class?	6.86635160446167	Must the president the police may find teach the class?	6.638589382171631	correct
Did the prince the student believe in doesn't study the language?	5.700967311859131	Doesn't the prince the student did believe in study the language?	5.827271938323975	incorrect
Could the professor the doctor save did carry the child?	6.683662414550781	Did the professor the doctor could save carry the child?	6.466538906097412	correct
Might the prince the child ask doesn't hold the line?	7.010982513427734	Doesn't the prince the child might ask hold the line?	5.722214698791504	correct
