sentence1	PPL1	Sentence2	PPL2	Correct
Donald can imagine those college campuses are boring himself.	6.517533779144287	Donald can imagine those college campuses are boring themselves.	6.048659324645996	correct
Gerald was explaining Patricia was revealing himself.	7.517042636871338	Gerald was explaining Patricia was revealing herself.	7.119295120239258	correct
Mark imagines Erin might admire himself.	8.266164779663086	Mark imagines Erin might admire herself.	7.995782852172852	correct
Gary imagined most reports upset himself.	8.841750144958496	Gary imagined most reports upset themselves.	8.665372848510742	correct
A lot of doctors hadn't imagined Denise notices themselves.	6.356716632843018	A lot of doctors hadn't imagined Denise notices herself.	6.4300127029418945	incorrect
Edward didn't think some teachers weren't discussing himself.	5.975724697113037	Edward didn't think some teachers weren't discussing themselves.	5.7001471519470215	correct
The Borgias explain Scott had talked to themselves.	7.719730854034424	The Borgias explain Scott had talked to himself.	7.151735305786133	correct
Valerie doesn't think Russell sounds like herself.	6.140835762023926	Valerie doesn't think Russell sounds like himself.	5.674463272094727	correct
Craig hasn't thought Jessica praised himself.	6.934069633483887	Craig hasn't thought Jessica praised herself.	6.578763008117676	correct
Holly would say some slope didn't irritate herself.	6.626753807067871	Holly would say some slope didn't irritate itself.	6.6128387451171875	correct
Sally wouldn't explain Rodney confused herself.	8.15434741973877	Sally wouldn't explain Rodney confused himself.	7.711239814758301	correct
The dancer said Jeffrey doesn't find herself.	6.241613388061523	The dancer said Jeffrey doesn't find himself.	6.051647186279297	correct
Beverly had said Homer was concealing herself.	6.442049503326416	Beverly had said Homer was concealing himself.	6.121010780334473	correct
The Impressionists think that window distracted themselves.	7.11503267288208	The Impressionists think that window distracted itself.	7.510366916656494	incorrect
Those waitresses say Curtis hadn't alarmed themselves.	7.18419885635376	Those waitresses say Curtis hadn't alarmed himself.	6.976928234100342	correct
Guy does explain Judy argued about himself.	7.106115341186523	Guy does explain Judy argued about herself.	6.665117263793945	correct
James says Kayla helped himself.	8.030981063842773	James says Kayla helped herself.	7.8945231437683105	correct
Joel can't explain some girl can't visit himself.	5.987677097320557	Joel can't explain some girl can't visit herself.	5.823362827301025	correct
Victoria thinks Harvard University isn't firing herself.	6.65863037109375	Victoria thinks Harvard University isn't firing itself.	6.711808681488037	incorrect
Alice has said Craig did upset herself.	6.946359634399414	Alice has said Craig did upset himself.	6.968175888061523	incorrect
Allison has imagined Christopher had concealed herself.	8.003204345703125	Allison has imagined Christopher had concealed himself.	7.756705284118652	correct
Jerry said the rabbit had annoyed himself.	5.010016918182373	Jerry said the rabbit had annoyed itself.	6.022738456726074	incorrect
Rodney is saying Renee hadn't fled from himself.	6.515609264373779	Rodney is saying Renee hadn't fled from herself.	6.614150524139404	incorrect
Many patients aren't saying Roger kisses themselves.	7.61223840713501	Many patients aren't saying Roger kisses himself.	7.8587188720703125	incorrect
Rachel explains Matt thinks about herself.	7.886913776397705	Rachel explains Matt thinks about himself.	7.672235488891602	correct
The children weren't imagining Anna knows themselves.	8.062668800354004	The children weren't imagining Anna knows herself.	7.109443664550781	correct
Vincent would say many patients can research himself.	6.257887363433838	Vincent would say many patients can research themselves.	5.839322566986084	correct
Karla was saying the Impressionists were leaving herself.	5.595311641693115	Karla was saying the Impressionists were leaving themselves.	5.2043867111206055	correct
Diana wasn't explaining Lawrence wasn't curing herself.	6.602592468261719	Diana wasn't explaining Lawrence wasn't curing himself.	6.1865692138671875	correct
Beth isn't imagining Dennis won't listen to herself.	6.1198954582214355	Beth isn't imagining Dennis won't listen to himself.	5.707858085632324	correct
Every actress imagines Raymond shouldn't care for herself.	6.131030559539795	Every actress imagines Raymond shouldn't care for himself.	5.841641426086426	correct
Michelle was thinking Joel was healing herself.	6.232539653778076	Michelle was thinking Joel was healing himself.	6.079107761383057	correct
Caroline has explained Stephen is working with herself.	6.385690212249756	Caroline has explained Stephen is working with himself.	6.484121799468994	incorrect
Nancy imagines this book hasn't impressed herself.	6.769860744476318	Nancy imagines this book hasn't impressed itself.	6.796153545379639	incorrect
Aaron thinks Anna upset himself.	8.316204071044922	Aaron thinks Anna upset herself.	7.777806758880615	correct
Those students have explained Valerie hides themselves.	8.98273754119873	Those students have explained Valerie hides herself.	8.686640739440918	correct
Erin says Scott is kissing herself.	8.01655387878418	Erin says Scott is kissing himself.	7.630316257476807	correct
Rebecca thought Rodney will praise herself.	7.452095031738281	Rebecca thought Rodney will praise himself.	7.234348297119141	correct
Teresa won't think Timothy bored herself.	6.901399612426758	Teresa won't think Timothy bored himself.	6.525589942932129	correct
Some dancers explain Sonia didn't distract themselves.	9.205827713012695	Some dancers explain Sonia didn't distract herself.	8.805766105651855	correct
Many teenagers explain Valerie reveals themselves.	9.714838027954102	Many teenagers explain Valerie reveals herself.	8.951991081237793	correct
John has said April loved himself.	7.594659805297852	John has said April loved herself.	7.526897430419922	correct
Adults think Clyde approaches themselves.	8.838781356811523	Adults think Clyde approaches himself.	8.72350788116455	correct
Susan won't say that organization admired herself.	6.189567565917969	Susan won't say that organization admired itself.	6.1526947021484375	correct
Many children explain Derek should work with themselves.	7.849292278289795	Many children explain Derek should work with himself.	7.572690486907959	correct
Mark explains Pamela should forget himself.	9.01848316192627	Mark explains Pamela should forget herself.	8.307292938232422	correct
Clyde said Caroline shouldn't argue about himself.	5.900692939758301	Clyde said Caroline shouldn't argue about herself.	5.668567180633545	correct
Meredith was explaining Steven returns to herself.	7.735182285308838	Meredith was explaining Steven returns to himself.	6.971872806549072	correct
Maria thinks many shoes shocked herself.	8.614493370056152	Maria thinks many shoes shocked themselves.	8.424318313598633	correct
Those teachers think Walter remembers themselves.	9.008455276489258	Those teachers think Walter remembers himself.	8.474527359008789	correct
Some men say Alexander praises themselves.	6.891024112701416	Some men say Alexander praises himself.	6.783071517944336	correct
Dana says Carl works with herself.	6.8804168701171875	Dana says Carl works with himself.	6.679399013519287	correct
Caroline has explained the cups haven't alarmed herself.	6.8346076011657715	Caroline has explained the cups haven't alarmed themselves.	6.780400276184082	correct
Children think Thomas notices themselves.	9.092033386230469	Children think Thomas notices himself.	8.423324584960938	correct
Raymond is saying Becky isn't talking about himself.	5.255307197570801	Raymond is saying Becky isn't talking about herself.	4.671855449676514	correct
Richard hasn't thought the banana won't bore himself.	6.451416969299316	Richard hasn't thought the banana won't bore itself.	6.592883586883545	incorrect
Grace explained Roger won't cure herself.	7.228466033935547	Grace explained Roger won't cure himself.	6.861087322235107	correct
Cheryl doesn't say some children have hugged herself.	5.947649955749512	Cheryl doesn't say some children have hugged themselves.	5.49220085144043	correct
Becky wasn't saying Robert cares for herself.	5.871322154998779	Becky wasn't saying Robert cares for himself.	5.4575724601745605	correct
Homer hadn't said Sara hadn't left himself.	6.190441131591797	Homer hadn't said Sara hadn't left herself.	5.681437015533447	correct
Benjamin was imagining Alice might argue about himself.	6.718528747558594	Benjamin was imagining Alice might argue about herself.	6.471405029296875	correct
Jane hasn't said Kenneth heals herself.	7.019754409790039	Jane hasn't said Kenneth heals himself.	6.447724342346191	correct
Denise said Adam wasn't leaving herself.	5.877256870269775	Denise said Adam wasn't leaving himself.	5.628509521484375	correct
Brian had thought Melinda didn't respect himself.	6.7159905433654785	Brian had thought Melinda didn't respect herself.	6.580593585968018	correct
These pedestrians explain the lake did stun themselves.	7.846477031707764	These pedestrians explain the lake did stun itself.	8.036500930786133	incorrect
Sally would think all pedestrians boycotted herself.	7.514138221740723	Sally would think all pedestrians boycotted themselves.	7.129454612731934	correct
The Clintons say Christine wouldn't care for themselves.	6.2621989250183105	The Clintons say Christine wouldn't care for herself.	6.0462965965271	correct
Many guests won't think Laurie can't heal themselves.	6.642574310302734	Many guests won't think Laurie can't heal herself.	6.323969841003418	correct
Paul doesn't explain Renee wasn't revealing himself.	6.17617654800415	Paul doesn't explain Renee wasn't revealing herself.	6.311924457550049	incorrect
Deborah hasn't thought Richard revealed herself.	7.380012035369873	Deborah hasn't thought Richard revealed himself.	6.885814189910889	correct
The woman wasn't explaining Curtis concealed herself.	7.990448951721191	The woman wasn't explaining Curtis concealed himself.	8.078929901123047	incorrect
Janice hadn't thought Jeffrey was concealing herself.	6.6645965576171875	Janice hadn't thought Jeffrey was concealing himself.	6.141637325286865	correct
Kimberley has imagined Wayne could conceal herself.	8.151269912719727	Kimberley has imagined Wayne could conceal himself.	7.548874855041504	correct
Some actresses think Joel researched themselves.	8.243016242980957	Some actresses think Joel researched himself.	8.076115608215332	correct
Carlos has imagined all hats haven't bothered himself.	6.949873924255371	Carlos has imagined all hats haven't bothered themselves.	6.637409210205078	correct
Dennis hadn't imagined these teenagers respected himself.	7.81288480758667	Dennis hadn't imagined these teenagers respected themselves.	7.531389236450195	correct
Tara could say that mountain has astounded herself.	6.460205078125	Tara could say that mountain has astounded itself.	6.2356438636779785	correct
Guy has explained a vase didn't confuse himself.	6.933040618896484	Guy has explained a vase didn't confuse itself.	6.860057353973389	correct
Tiffany could imagine the jackets wouldn't alarm herself.	6.812913417816162	Tiffany could imagine the jackets wouldn't alarm themselves.	6.35032320022583	correct
This waitress says Keith didn't complain about herself.	6.4005231857299805	This waitress says Keith didn't complain about himself.	6.301417827606201	correct
