sentence1	PPL1	Sentence2	PPL2	Correct
Who should Derek hug Richard after shocking?	9.758398056030273	Who should Derek hug after shocking Richard?	8.921546936035156	correct
What had Theresa walked through that high school while talking about?	6.031813144683838	What had Theresa walked through while talking about that high school?	5.728061676025391	correct
Who will Katherine discover Erin without hiring?	9.104364395141602	Who will Katherine discover without hiring Erin?	8.269977569580078	correct
Who has Colleen aggravated Judy before kissing?	7.056278705596924	Who has Colleen aggravated before kissing Judy?	7.199580669403076	incorrect
What could a lot of cats break all convertibles while finding?	7.61971378326416	What could a lot of cats break while finding all convertibles?	6.778672695159912	correct
Who have most people discovered Erin while embarrassing?	9.300731658935547	Who have most people discovered while embarrassing Erin?	8.397857666015625	correct
Who was William firing Maria before talking about?	7.484694004058838	Who was William firing before talking about Maria?	6.975336074829102	correct
What is Denise descending a lot of hills while hiding?	7.069471836090088	What is Denise descending while hiding a lot of hills?	7.86574649810791	incorrect
Who does John leave Beverly while alarming?	9.27513599395752	Who does John leave while alarming Beverly?	9.538016319274902	incorrect
What was Melanie going to those rivers after taking?	6.754628658294678	What was Melanie going to after taking those rivers?	6.504354953765869	correct
Who could Bethany research Winston Churchill before discussing?	8.377318382263184	Who could Bethany research before discussing Winston Churchill?	8.09831428527832	correct
What could Jessica sell these spotlights before noticing?	8.286015510559082	What could Jessica sell before noticing these spotlights?	7.8326416015625	correct
What had Helen biked to Spain without bothering?	7.814690589904785	What had Helen biked to without bothering Spain?	7.947887897491455	incorrect
Who is Mary irritating Kenneth after approaching?	8.979493141174316	Who is Mary irritating after approaching Kenneth?	8.85706615447998	correct
Who might Rose flee from this customer before returning to?	7.046274662017822	Who might Rose flee from before returning to this customer?	7.222711086273193	incorrect
What will Janice research politics after boasting about?	8.040200233459473	What will Janice research after boasting about politics?	7.604269981384277	correct
Who had Karla aggravated Donald without finding?	7.790820598602295	Who had Karla aggravated without finding Donald?	7.27734899520874	correct
Who should a government reference Jesus before shocking?	8.994759559631348	Who should a government reference before shocking Jesus?	8.12157154083252	correct
What had Aaron sounded like the museum while cleaning?	7.51407527923584	What had Aaron sounded like while cleaning the museum?	6.5960893630981445	correct
