sentence1	PPL1	Sentence2	PPL2	Correct
Who would Maria wanna go?	6.904083251953125	Why would Maria wanna go?	5.5264129638671875	correct
Who does the same student wanna watch the video?	5.70257043838501	Where does the same student wanna watch the video?	4.844264507293701	correct
Who did the famous president wanna lead the group?	5.384408950805664	Why did the famous president wanna lead the group?	5.045568943023682	correct
Who does Ross wanna arrive early?	7.22959041595459	Why does Ross wanna arrive early?	6.529479026794434	correct
Who did Maria wanna perform the music?	6.084952354431152	Why did Maria wanna perform the music?	5.510828495025635	correct
Who would the French teacher wanna believe the news?	5.729326248168945	When would the French teacher wanna believe the news?	6.062650680541992	incorrect
Who does Maria wanna rest?	6.940562725067139	Why does Maria wanna rest?	6.046052932739258	correct
Who would James wanna swim?	7.605665683746338	Why would James wanna swim?	6.707023620605469	correct
Who did the professional man wanna see the film?	4.9084906578063965	Where did the professional man wanna see the film?	4.954031944274902	incorrect
Who does the special leader wanna lead the group?	5.747822284698486	When does the special leader wanna lead the group?	4.998142242431641	correct
Who did Joe wanna swim?	6.877799987792969	Where did Joe wanna swim?	6.32082462310791	correct
Who did John wanna rest?	6.5471649169921875	Where did John wanna rest?	6.112336158752441	correct
Who will Ross wanna travel?	7.865933418273926	Where will Ross wanna travel?	7.373170375823975	correct
Who would the famous friend wanna trust the friend?	7.050348281860352	Why would the famous friend wanna trust the friend?	6.298821926116943	correct
Who did Dennis wanna rest?	6.908185005187988	Where did Dennis wanna rest?	6.568753242492676	correct
Who did the young doctor wanna save money?	5.914532661437988	Why did the young doctor wanna save money?	5.404456615447998	correct
Who will the happy officer wanna serve the community?	7.172987937927246	When will the happy officer wanna serve the community?	6.420409202575684	correct
Who will Oliver wanna walk the dog?	7.013932704925537	Where will Oliver wanna walk the dog?	6.673697471618652	correct
Who will the poor woman wanna find the way?	5.3641486167907715	When will the poor woman wanna find the way?	4.886785984039307	correct
Who did Kelly wanna wait?	7.0765886306762695	Where did Kelly wanna wait?	6.506390571594238	correct
Who does Michael wanna travel?	6.833425045013428	How does Michael wanna travel?	6.1836419105529785	correct
Who will Dan wanna perform the music?	7.197470664978027	Where will Dan wanna perform the music?	6.822779178619385	correct
Who did the professional player wanna reach out to the man?	5.3056960105896	When did the professional player wanna reach out to the man?	5.4599738121032715	incorrect
Who did Alice wanna travel?	7.2059173583984375	Where did Alice wanna travel?	6.952876567840576	correct
Who will Ross wanna wait?	7.86364221572876	Where will Ross wanna wait?	7.372856140136719	correct
What would Andy wanna leave the gift at home?	5.674328804016113	Where would Andy wanna leave the gift at home?	5.642685890197754	correct
Who would Alexander wanna rest?	7.479776859283447	Where would Alexander wanna rest?	7.217787265777588	correct
Who will the happy parent wanna help the child?	6.339622497558594	Where will the happy parent wanna help the child?	5.610910892486572	correct
Who would Brian wanna go?	6.4957146644592285	When would Brian wanna go?	6.15708589553833	correct
Who would the active team wanna attack the city?	6.032719135284424	When would the active team wanna attack the city?	5.623079776763916	correct
Who will the Australian student wanna trust the assistant?	7.51853084564209	When will the Australian student wanna trust the assistant?	7.184235572814941	correct
Who did the rich parent wanna help the student?	6.075959205627441	Why did the rich parent wanna help the student?	5.503984451293945	correct
Who did Philip wanna go?	5.795173645019531	Why did Philip wanna go?	4.932965278625488	correct
Who will the young man wanna love the family?	5.357915878295898	When will the young man wanna love the family?	4.925321102142334	correct
Who will the special minister wanna lead the group?	6.345152854919434	When will the special minister wanna lead the group?	5.700691223144531	correct
Who would the friendly soldier wanna serve the community?	6.358179569244385	When would the friendly soldier wanna serve the community?	6.166330814361572	correct
Who does Andy wanna perform the music?	6.4376420974731445	Why does Andy wanna perform the music?	5.691137790679932	correct
Who would the friendly soldier wanna serve the government?	6.090361595153809	When would the friendly soldier wanna serve the government?	5.943361282348633	correct
Who would Helen wanna arrive?	7.890283107757568	How would Helen wanna arrive?	7.497203350067139	correct
Who would Oliver wanna rest?	7.5119309425354	How would Oliver wanna rest?	7.180186748504639	correct
Who does Tony wanna run the team?	5.378843307495117	Why does Tony wanna run the team?	4.829314708709717	correct
Who will the young father wanna tell him the story?	5.268191814422607	Where will the young father wanna tell him the story?	4.724221229553223	correct
Who would Philip wanna travel?	7.87603759765625	Why would Philip wanna travel?	6.4644904136657715	correct
Who will the Indian army wanna attack the enemy?	5.452942371368408	Where will the Indian army wanna attack the enemy?	4.571836948394775	correct
Who did the poor soldier wanna save money?	5.73713493347168	When did the poor soldier wanna save money?	5.638993740081787	correct
Who does Gary wanna swim?	6.666240215301514	Why does Gary wanna swim?	5.9583587646484375	correct
