sentence1	PPL1	Sentence2	PPL2	Correct
Who did the customer who talked to love that man?	6.549200534820557	Who did the customer who talked to that man love?	6.641183376312256	incorrect
Who did the customer who loved talk to that man?	6.2581634521484375	Who did the customer who loved that man talk to?	6.4638872146606445	incorrect
What did this male professor who understood follow the rule?	8.017898559570312	What did this male professor who understood the rule follow?	7.856910228729248	correct
What did this male professor who protected understand the rule?	8.520720481872559	What did this male professor who protected the rule understand?	8.344858169555664	correct
Who did the writer who trusted call that teacher?	8.261879920959473	Who did the writer who trusted that teacher call?	8.110142707824707	correct
Who did the writer who called trust that teacher?	8.238978385925293	Who did the writer who called that teacher trust?	7.891345500946045	correct
Who did this male professor who contacted see this child?	8.038619041442871	Who did this male professor who contacted this child see?	7.969459533691406	correct
Who did this male professor who saw contact this child?	7.448696136474609	Who did this male professor who saw this child contact?	7.208859920501709	correct
Who did the visitor who defeated beat Mike?	8.56721305847168	Who did the visitor who defeated Mike beat?	8.328466415405273	correct
Who did that prince who beat defeat Alice?	8.49686050415039	Who did that prince who beat Alice defeat?	8.96917724609375	incorrect
Who did the student who trusted visit Robert?	8.525613784790039	Who did the student who trusted Robert visit?	8.347620010375977	correct
Who did this daughter who beat talk to that president?	7.190635681152344	Who did this daughter who beat that president talk to?	7.797329902648926	incorrect
Who did this daughter who talked to beat that president?	7.385674476623535	Who did this daughter who talked to that president beat?	7.640206813812256	incorrect
Who did this male president who believed hide the teacher?	8.236071586608887	Who did this male president who believed the teacher hide?	8.34847354888916	incorrect
Who did this male president who hid believe the teacher?	8.287491798400879	Who did this male president who hid the teacher believe?	7.958291530609131	correct
Who did the judge who saw contact this minister?	6.400970458984375	Who did the judge who saw this minister contact?	6.55528450012207	incorrect
Who did the judge who contacted see this minister?	7.189737796783447	Who did the judge who contacted this minister see?	7.1078200340271	correct
Who did the doctor who talked to beat Alexander?	6.860955238342285	Who did the doctor who talked to Alexander beat?	7.351637840270996	incorrect
Who did the doctor who beat talk to Alexander?	7.17397928237915	Who did the doctor who beat Alexander talk to?	7.209012508392334	incorrect
Who did that female president who met support this parent?	8.506564140319824	Who did that female president who met this parent support?	7.984233856201172	correct
Who did that female president who supported meet this parent?	8.178515434265137	Who did that female president who supported this parent meet?	8.071762084960938	correct
Who did that daughter who believed call the police?	7.519064426422119	Who did that daughter who believed the police call?	7.420725345611572	correct
Who did that daughter who called believe the police?	7.740970134735107	Who did that daughter who called the police believe?	6.406930446624756	correct
