sentence1	PPL1	Sentence2	PPL2	Correct
Who have those men revealed who helped?	6.8670125007629395	Who have those men revealed they helped?	6.494844436645508	correct
Who isn't Craig realizing who kisses?	7.8150811195373535	Who isn't Craig realizing he kisses?	6.891513824462891	correct
Who are those associations discovering who saw?	7.799276351928711	Who are those associations discovering they saw?	7.007023811340332	correct
What wasn't Nicole discovering who climbed down?	7.787637710571289	What wasn't Nicole discovering she climbed down?	7.963589668273926	incorrect
What could Alan discover who has run around?	6.575428009033203	What could Alan discover he has run around?	6.733628273010254	incorrect
Who shouldn't Andrew find out what was embarrassing?	5.783297061920166	Who shouldn't Andrew find out he was embarrassing?	6.264537334442139	incorrect
What was this woman revealing who would examine?	6.541901588439941	What was this woman revealing she would examine?	6.400812149047852	correct
What didn't Edward conceal who hasn't noticed?	7.644711017608643	What didn't Edward conceal he hasn't noticed?	7.256621360778809	correct
Who hadn't Tanya known who hadn't visited?	6.196558475494385	Who hadn't Tanya known she hadn't visited?	6.672082424163818	incorrect
Who wasn't Teresa forgetting who sees?	8.36512565612793	Who wasn't Teresa forgetting she sees?	8.04596996307373	correct
Who can't Douglas realize who had investigated?	7.093362331390381	Who can't Douglas realize he had investigated?	6.9975056648254395	correct
What had the museums learned who weren't skated around?	6.843418121337891	What had the museums learned they weren't skated around?	6.420567035675049	correct
Who haven't these associations discovered what could annoy?	7.809082984924316	Who haven't these associations discovered they could annoy?	7.44080114364624	correct
Who can't some universities forget what aggravated?	7.875486850738525	Who can't some universities forget they aggravated?	7.955163478851318	incorrect
What shouldn't these guys remember what are climbing down?	6.3115739822387695	What shouldn't these guys remember they are climbing down?	6.068542003631592	correct
Who shouldn't Janet know who doesn't reveal?	6.020674705505371	Who shouldn't Janet know she doesn't reveal?	6.255563735961914	incorrect
What is Connie remembering who can't see?	5.755349636077881	What is Connie remembering she can't see?	5.913558483123779	incorrect
What was this actor figuring out who is scanning?	6.6410088539123535	What was this actor figuring out she is scanning?	7.215230464935303	incorrect
What isn't Dawn revealing who couldn't complain about?	5.830667018890381	What isn't Dawn revealing she couldn't complain about?	5.794946193695068	correct
Who couldn't Helen conceal who shouldn't leave?	6.7895307540893555	Who couldn't Helen conceal she shouldn't leave?	6.7114715576171875	correct
What hadn't Pamela investigated who admired?	8.705727577209473	What hadn't Pamela investigated she admired?	8.920023918151855	incorrect
Who wasn't Margaret figuring out who questioned?	7.178257465362549	Who wasn't Margaret figuring out she questioned?	7.584065914154053	incorrect
Who would that senator realize who was listening to?	6.266712665557861	Who would that senator realize she was listening to?	6.139103889465332	correct
Who should Rhonda find out who hugs?	6.396268844604492	Who should Rhonda find out she hugs?	7.1555986404418945	incorrect
