sentence1	PPL1	Sentence2	PPL2	Correct
Lawrence reports that Peter's wife introduces himself to others.	5.908797264099121	Lawrence reports that Peter's wife introduces herself to others.	5.911920547485352	incorrect
The female president reports that Ruth's brother introduces herself to others.	6.098224639892578	The female president reports that Ruth's brother introduces himself to others.	6.096338748931885	correct
Ann reports that the male professor who trusts Ann teaches herself.	8.183871269226074	Ann reports that the male professor who trusts Ann teaches himself.	8.218328475952148	incorrect
Anthony shows that Charlie's mother helps himself.	6.229827404022217	Anthony shows that Charlie's mother helps herself.	6.213290691375732	correct
The lady shows that Helen's husband helps herself.	6.751927852630615	The lady shows that Helen's husband helps himself.	6.7432541847229	correct
The king writes that Brian's daughter hides himself from the enemy.	5.466597557067871	The king writes that Brian's daughter hides herself from the enemy.	5.669864654541016	incorrect
The daughter writes that Anna's brother hides herself from the enemy.	5.777272701263428	The daughter writes that Anna's brother hides himself from the enemy.	5.695362091064453	correct
The king reports that William's mother tells himself the truth.	5.482611179351807	The king reports that William's mother tells herself the truth.	5.656890392303467	incorrect
Sarah reports that Victoria's uncle tells herself the truth.	6.183382987976074	Sarah reports that Victoria's uncle tells himself the truth.	6.052909851074219	correct
Sarah reports that the boy who tells Sarah the story helps herself.	5.9732584953308105	Sarah reports that the boy who tells Sarah the story helps himself.	5.955691814422607	correct
The king reports that the daughter who tells the king the story helps himself.	5.607626438140869	The king reports that the daughter who tells the king the story helps herself.	5.656027793884277	incorrect
The male president learns that Jeff's wife trusts himself.	7.230993747711182	The male president learns that Jeff's wife trusts herself.	7.28057861328125	incorrect
The female player learns that Mary's uncle trusts herself.	6.854191780090332	The female player learns that Mary's uncle trusts himself.	6.784776210784912	correct
The female player learns that the man who trusts the female player hits herself.	5.700712203979492	The female player learns that the man who trusts the female player hits himself.	5.436023235321045	correct
The male president learns that the princess who trusts the male president hits himself.	6.89821720123291	The male president learns that the princess who trusts the male president hits herself.	6.9766669273376465	incorrect
Louis hears that Alexander's sister enjoys himself in the park.	5.704257965087891	Louis hears that Alexander's sister enjoys herself in the park.	5.701972961425781	correct
The lady hears that Maria's husband enjoys herself in the park.	5.571623802185059	The lady hears that Maria's husband enjoys himself in the park.	5.452431678771973	correct
The lady hears that the male president who likes the lady introduces herself to others.	6.149862766265869	The lady hears that the male president who likes the lady introduces himself to others.	6.079453468322754	correct
Louis hears that the mother who likes Louis introduces himself to others.	5.900472640991211	Louis hears that the mother who likes Louis introduces herself to others.	5.825197696685791	correct
The princess believes that the male player who joins the princess enjoys herself in the park.	5.785126686096191	The princess believes that the male player who joins the princess enjoys himself in the park.	5.7056779861450195	correct
Ryan believes that the female professor who joins Ryan enjoys himself in the park.	6.517154693603516	Ryan believes that the female professor who joins Ryan enjoys herself in the park.	6.690825939178467	incorrect
The brother writes that Thomas's sister supports himself.	6.715001583099365	The brother writes that Thomas's sister supports herself.	6.918216228485107	incorrect
Elizabeth writes that Helen's brother supports herself.	5.923310279846191	Elizabeth writes that Helen's brother supports himself.	5.971315383911133	incorrect
Elizabeth writes that the male player who supports Elizabeth hides herself from the enemy.	5.654050350189209	Elizabeth writes that the male player who supports Elizabeth hides himself from the enemy.	5.51701545715332	correct
The brother writes that the female president who supports the brother hides himself from the enemy.	5.8995819091796875	The brother writes that the female president who supports the brother hides herself from the enemy.	6.1776227951049805	incorrect
The boy feels that Tony's sister helps himself.	6.474703311920166	The boy feels that Tony's sister helps herself.	6.676048755645752	incorrect
Mary feels that Kelly's son helps herself.	6.866046905517578	Mary feels that Kelly's son helps himself.	6.850648880004883	correct
Alexander claims that Martin's mother attacks himself.	5.719387054443359	Alexander claims that Martin's mother attacks herself.	5.666950225830078	correct
The female professor claims that Jane's husband attacks herself.	6.9463372230529785	The female professor claims that Jane's husband attacks himself.	6.884747505187988	correct
The female professor claims that the brother who attacks the female professor asks herself a question.	6.2703094482421875	The female professor claims that the brother who attacks the female professor asks himself a question.	6.165439128875732	correct
Alexander claims that the mother who attacks Alexander asks himself a question.	5.94135856628418	Alexander claims that the mother who attacks Alexander asks herself a question.	6.082578659057617	incorrect
Maria explains that the male president who leads Maria introduces herself to others.	6.480742931365967	Maria explains that the male president who leads Maria introduces himself to others.	6.598736763000488	incorrect
Anthony explains that the female player who leads Anthony introduces himself to others.	6.040780067443848	Anthony explains that the female player who leads Anthony introduces herself to others.	6.1556196212768555	incorrect
