sentence1	PPL1	Sentence2	PPL2	Correct
Lawrence reports that Peter's wife introduces himself to others.	5.281831741333008	Lawrence reports that Peter's wife introduces herself to others.	5.276312828063965	correct
The female president reports that Ruth's brother introduces herself to others.	5.635074615478516	The female president reports that Ruth's brother introduces himself to others.	5.595339298248291	correct
Ann reports that the male professor who trusts Ann teaches herself.	7.0754923820495605	Ann reports that the male professor who trusts Ann teaches himself.	6.983358383178711	correct
Anthony shows that Charlie's mother helps himself.	5.440612316131592	Anthony shows that Charlie's mother helps herself.	5.443589210510254	incorrect
The lady shows that Helen's husband helps herself.	6.892686367034912	The lady shows that Helen's husband helps himself.	6.691076755523682	correct
The king writes that Brian's daughter hides himself from the enemy.	5.5366034507751465	The king writes that Brian's daughter hides herself from the enemy.	5.3996076583862305	correct
The daughter writes that Anna's brother hides herself from the enemy.	5.4586005210876465	The daughter writes that Anna's brother hides himself from the enemy.	5.388650417327881	correct
The king reports that William's mother tells himself the truth.	5.252004146575928	The king reports that William's mother tells herself the truth.	5.321389198303223	incorrect
Sarah reports that Victoria's uncle tells herself the truth.	5.675139904022217	Sarah reports that Victoria's uncle tells himself the truth.	5.670461177825928	correct
Sarah reports that the boy who tells Sarah the story helps herself.	4.918181419372559	Sarah reports that the boy who tells Sarah the story helps himself.	4.852475166320801	correct
The king reports that the daughter who tells the king the story helps himself.	4.875584602355957	The king reports that the daughter who tells the king the story helps herself.	4.894467353820801	incorrect
The male president learns that Jeff's wife trusts himself.	6.633305549621582	The male president learns that Jeff's wife trusts herself.	6.6130051612854	correct
The female player learns that Mary's uncle trusts herself.	6.878398418426514	The female player learns that Mary's uncle trusts himself.	6.792167663574219	correct
The female player learns that the man who trusts the female player hits herself.	5.476119041442871	The female player learns that the man who trusts the female player hits himself.	5.451719284057617	correct
The male president learns that the princess who trusts the male president hits himself.	6.29227352142334	The male president learns that the princess who trusts the male president hits herself.	6.350949287414551	incorrect
Louis hears that Alexander's sister enjoys himself in the park.	5.157622337341309	Louis hears that Alexander's sister enjoys herself in the park.	5.060211181640625	correct
The lady hears that Maria's husband enjoys herself in the park.	5.904986381530762	The lady hears that Maria's husband enjoys himself in the park.	5.8123602867126465	correct
The lady hears that the male president who likes the lady introduces herself to others.	5.6610107421875	The lady hears that the male president who likes the lady introduces himself to others.	5.701769828796387	incorrect
Louis hears that the mother who likes Louis introduces himself to others.	5.255938529968262	Louis hears that the mother who likes Louis introduces herself to others.	5.128849983215332	correct
The princess believes that the male player who joins the princess enjoys herself in the park.	5.0771589279174805	The princess believes that the male player who joins the princess enjoys himself in the park.	5.1212944984436035	incorrect
Ryan believes that the female professor who joins Ryan enjoys himself in the park.	6.310955047607422	Ryan believes that the female professor who joins Ryan enjoys herself in the park.	6.369264125823975	incorrect
The brother writes that Thomas's sister supports himself.	6.901564121246338	The brother writes that Thomas's sister supports herself.	6.94982385635376	incorrect
Elizabeth writes that Helen's brother supports herself.	6.189205646514893	Elizabeth writes that Helen's brother supports himself.	6.0158281326293945	correct
Elizabeth writes that the male player who supports Elizabeth hides herself from the enemy.	5.319268703460693	Elizabeth writes that the male player who supports Elizabeth hides himself from the enemy.	5.301993370056152	correct
The brother writes that the female president who supports the brother hides himself from the enemy.	5.335240364074707	The brother writes that the female president who supports the brother hides herself from the enemy.	5.377865791320801	incorrect
The boy feels that Tony's sister helps himself.	6.4066925048828125	The boy feels that Tony's sister helps herself.	6.584902763366699	incorrect
Mary feels that Kelly's son helps herself.	6.902477264404297	Mary feels that Kelly's son helps himself.	6.665849685668945	correct
Alexander claims that Martin's mother attacks himself.	5.068750381469727	Alexander claims that Martin's mother attacks herself.	5.084970951080322	incorrect
The female professor claims that Jane's husband attacks herself.	6.2140021324157715	The female professor claims that Jane's husband attacks himself.	6.253750801086426	incorrect
The female professor claims that the brother who attacks the female professor asks herself a question.	5.291849613189697	The female professor claims that the brother who attacks the female professor asks himself a question.	5.161121368408203	correct
Alexander claims that the mother who attacks Alexander asks himself a question.	5.110820293426514	Alexander claims that the mother who attacks Alexander asks herself a question.	5.2708024978637695	incorrect
Maria explains that the male president who leads Maria introduces herself to others.	5.911518573760986	Maria explains that the male president who leads Maria introduces himself to others.	5.949650287628174	incorrect
Anthony explains that the female player who leads Anthony introduces himself to others.	5.113409042358398	Anthony explains that the female player who leads Anthony introduces herself to others.	5.173584938049316	incorrect
The brother explains that Martin's daughter enjoys himself in the park.	6.121013164520264	The brother explains that Martin's daughter enjoys herself in the park.	5.933216094970703	correct
Ann explains that Helen's uncle enjoys herself in the park.	5.165391445159912	Ann explains that Helen's uncle enjoys himself in the park.	4.996238708496094	correct
Ann explains that the male professor who likes Ann talks to herself.	5.846858978271484	Ann explains that the male professor who likes Ann talks to himself.	5.914055824279785	incorrect
The brother explains that the daughter who likes the brother talks to himself.	5.671257972717285	The brother explains that the daughter who likes the brother talks to herself.	5.741499900817871	incorrect
Nick says that Brian's daughter supports himself.	6.011595249176025	Nick says that Brian's daughter supports herself.	6.0001091957092285	correct
The daughter says that Helen's father supports herself.	5.801098346710205	The daughter says that Helen's father supports himself.	5.685984134674072	correct
The daughter says that the man who calls the daughter hides herself from the enemy.	4.267520427703857	The daughter says that the man who calls the daughter hides himself from the enemy.	4.231509208679199	correct
Nick says that the female president who calls Nick hides himself from the enemy.	5.681906223297119	Nick says that the female president who calls Nick hides herself from the enemy.	5.748116493225098	incorrect
The male doctor feels that Dennis's sister asks himself a question.	5.985468864440918	The male doctor feels that Dennis's sister asks herself a question.	6.106523036956787	incorrect
The princess feels that Helen's brother asks herself a question.	6.09969425201416	The princess feels that Helen's brother asks himself a question.	5.899967670440674	correct
Fred says that Ben's daughter trains himself.	5.937426567077637	Fred says that Ben's daughter trains herself.	5.874345779418945	correct
Ann says that Alice's son trains herself.	5.589319229125977	Ann says that Alice's son trains himself.	5.57336950302124	correct
Ann says that the father who trains Ann supports herself.	5.830713272094727	Ann says that the father who trains Ann supports himself.	5.929257869720459	incorrect
Fred says that the female professor who trains Fred supports himself.	6.1629743576049805	Fred says that the female professor who trains Fred supports herself.	6.258254528045654	incorrect
Jeff understands that Charles's sister loves himself.	5.998389720916748	Jeff understands that Charles's sister loves herself.	6.033707618713379	incorrect
Kelly understands that Sarah's father loves herself.	6.132710933685303	Kelly understands that Sarah's father loves himself.	5.996577739715576	correct
Kelly understands that the male professor who loves Kelly beats herself.	6.889034271240234	Kelly understands that the male professor who loves Kelly beats himself.	6.8458380699157715	correct
Jeff understands that the female doctor who loves Jeff beats himself.	6.067177772521973	Jeff understands that the female doctor who loves Jeff beats herself.	6.141140460968018	incorrect
Lawrence learns that Bruce's sister tells himself the truth.	5.218686103820801	Lawrence learns that Bruce's sister tells herself the truth.	5.210012435913086	correct
The girl learns that Victoria's husband tells herself the truth.	5.595689296722412	The girl learns that Victoria's husband tells himself the truth.	5.493877410888672	correct
The girl learns that the male professor who tells the girl the news supports herself.	5.752265930175781	The girl learns that the male professor who tells the girl the news supports himself.	5.745174407958984	correct
Lawrence learns that the woman who tells Lawrence the news supports himself.	5.756397247314453	Lawrence learns that the woman who tells Lawrence the news supports herself.	5.659263610839844	correct
Thomas writes that Bruce's wife attacks himself.	5.809072494506836	Thomas writes that Bruce's wife attacks herself.	5.69371223449707	correct
Anna writes that Helen's son attacks herself.	7.193543434143066	Anna writes that Helen's son attacks himself.	7.146132946014404	correct
Anna writes that the man who attacks Anna talks to herself.	5.202805995941162	Anna writes that the man who attacks Anna talks to himself.	5.203704833984375	incorrect
Thomas writes that the mother who attacks Thomas talks to himself.	5.518680095672607	Thomas writes that the mother who attacks Thomas talks to herself.	5.650798797607422	incorrect
Alexander sees that Dennis's mother saves himself.	5.790646076202393	Alexander sees that Dennis's mother saves herself.	5.7506561279296875	correct
The princess sees that Maria's uncle saves herself.	6.623077869415283	The princess sees that Maria's uncle saves himself.	6.585096836090088	correct
The princess sees that the boy who serves the princess introduces herself to others.	4.6770501136779785	The princess sees that the boy who serves the princess introduces himself to others.	4.6424665451049805	correct
Alexander sees that the female professor who serves Alexander introduces himself to others.	5.239008903503418	Alexander sees that the female professor who serves Alexander introduces herself to others.	5.307020664215088	incorrect
Alexander says that Ben's wife hides himself from the enemy.	4.50717306137085	Alexander says that Ben's wife hides herself from the enemy.	4.295921325683594	correct
The lady says that Elizabeth's father hides herself from the enemy.	5.157483100891113	The lady says that Elizabeth's father hides himself from the enemy.	4.979762554168701	correct
The lady says that the male president who invites the lady attacks herself.	5.812476634979248	The lady says that the male president who invites the lady attacks himself.	5.911416053771973	incorrect
Alexander says that the princess who invites Alexander attacks himself.	5.586772918701172	Alexander says that the princess who invites Alexander attacks herself.	5.621406078338623	incorrect
Anthony feels that Bill's wife sees himself appear on screen.	5.8476409912109375	Anthony feels that Bill's wife sees herself appear on screen.	5.775205612182617	correct
Elizabeth feels that Jane's husband sees herself appear on screen.	6.312687397003174	Elizabeth feels that Jane's husband sees himself appear on screen.	6.212882995605469	correct
Elizabeth feels that the father who sees Elizabeth protects herself.	6.1788506507873535	Elizabeth feels that the father who sees Elizabeth protects himself.	6.181176662445068	incorrect
Anthony feels that the female professor who sees Anthony protects himself.	6.148828506469727	Anthony feels that the female professor who sees Anthony protects herself.	6.222789287567139	incorrect
Ben thinks that William's daughter watches himself in the video.	6.4431071281433105	Ben thinks that William's daughter watches herself in the video.	6.373162269592285	correct
Elizabeth thinks that Elizabeth's brother watches herself in the video.	5.618843078613281	Elizabeth thinks that Elizabeth's brother watches himself in the video.	5.538928508758545	correct
Elizabeth thinks that the king who watches Elizabeth introduces herself to others.	5.297224521636963	Elizabeth thinks that the king who watches Elizabeth introduces himself to others.	5.280063629150391	correct
Ben thinks that the female professor who watches Ben introduces himself to others.	6.109753608703613	Ben thinks that the female professor who watches Ben introduces herself to others.	6.2034687995910645	incorrect
Ben learns that James's mother trusts himself.	7.705214977264404	Ben learns that James's mother trusts herself.	7.65258264541626	correct
Elizabeth learns that Ruth's husband trusts herself.	6.22979211807251	Elizabeth learns that Ruth's husband trusts himself.	6.15721321105957	correct
Sarah reports that the king who meets Sarah hides herself from the enemy.	5.2271552085876465	Sarah reports that the king who meets Sarah hides himself from the enemy.	5.272102355957031	incorrect
Louis reports that the female doctor who meets Louis hides himself from the enemy.	4.605443477630615	Louis reports that the female doctor who meets Louis hides herself from the enemy.	4.637061595916748	incorrect
Thomas claims that Charles's mother is defending himself.	5.013341426849365	Thomas claims that Charles's mother is defending herself.	4.971070766448975	correct
Kelly claims that Ann's husband is defending herself.	5.462427139282227	Kelly claims that Ann's husband is defending himself.	5.342228889465332	correct
