sentence1	PPL1	Sentence2	PPL2	Correct
who does n't the girl learn who has taught ?	8.138134956359863	who does n't the girl learn she has taught ?	7.839585781097412	correct
who do n't my friends believe who look like ?	8.28873062133789	who do n't my friends believe they look like ?	7.687169551849365	correct
who will your mother know who bothered ?	7.030847549438477	who will your mother know she bothered ?	7.138552188873291	incorrect
who was n't your son saying who is listening to ?	7.111715316772461	who was n't your son saying he is listening to ?	6.81735372543335	correct
who is n't Renee thinking who will sound like ?	8.680962562561035	who is n't Renee thinking she will sound like ?	8.053555488586426	correct
what could your doctors hope who talked about ?	9.044490814208984	what could your doctors hope they talked about ?	8.496082305908203	correct
who would Becca figure out who can appreciate ?	7.0922698974609375	who would Becca figure out she can appreciate ?	7.0166168212890625	correct
who had n't Karen said who could help ?	8.571724891662598	who had n't Karen said she could help ?	7.891371250152588	correct
who should n't Barbara say who has worried ?	9.38509464263916	who should n't Barbara say she has worried ?	8.95881462097168	correct
what had these teachers remembered who can remember ?	8.950957298278809	what had these teachers remembered they can remember ?	8.615418434143066	correct
who has your husband learned who scared ?	8.282590866088867	who has your husband learned he scared ?	8.309883117675781	incorrect
who is Anna thinking who did sound like ?	9.482406616210938	who is Anna thinking she did sound like ?	8.828779220581055	correct
who has your husband known who hears ?	9.134485244750977	who has your husband known he hears ?	9.036920547485352	correct
what are my teachers thinking who have remembered ?	7.642727375030518	what are my teachers thinking they have remembered ?	7.217292308807373	correct
who are n't your doctors saying who can praise ?	8.298567771911621	who are n't your doctors saying they can praise ?	7.6682281494140625	correct
who would n't my father know who scared ?	7.0980544090271	who would n't my father know he scared ?	7.083230018615723	correct
who has Janet learned who knew ?	9.482816696166992	who has Janet learned she knew ?	8.830659866333008	correct
who would n't these doctors think who answered ?	9.167706489562988	who would n't these doctors think they answered ?	8.576436042785645	correct
what had your friends learned who had remembered ?	8.465885162353516	what had your friends learned they had remembered ?	8.076665878295898	correct
who could n't your doctors know who visit ?	8.7854642868042	who could n't your doctors know they visit ?	8.540067672729492	correct
who were n't the children thinking who are visiting ?	7.618809700012207	who were n't the children thinking they are visiting ?	7.022165775299072	correct
who could n't the people believe who had taught ?	7.371171474456787	who could n't the people believe they had taught ?	6.920440196990967	correct
what was this man thinking who loved ?	7.867508411407471	what was this man thinking he loved ?	6.89349365234375	correct
who have my teachers said who knew ?	8.37485408782959	who have my teachers said they knew ?	7.4363274574279785	correct
who have n't those doctors learned who had lost ?	7.924764156341553	who have n't those doctors learned they had lost ?	7.688864231109619	correct
who was n't my son hoping who should sound like ?	8.107836723327637	who was n't my son hoping he should sound like ?	7.637477874755859	correct
who were n't your friends learning who heard ?	8.511293411254883	who were n't your friends learning they heard ?	7.844374656677246	correct
what may my teachers realize who notice ?	9.111809730529785	what may my teachers realize they notice ?	8.79633617401123	correct
who were n't my cousins hoping who praise ?	9.20779800415039	who were n't my cousins hoping they praise ?	8.658392906188965	correct
what did n't these doctors forget who can remember ?	8.492045402526855	what did n't these doctors forget they can remember ?	8.455896377563477	correct
who has n't your father realized who is helping ?	7.975485324859619	who has n't your father realized he is helping ?	7.594577312469482	correct
what are n't your cousins saying who have talked about ?	7.511686325073242	what are n't your cousins saying they have talked about ?	7.018438339233398	correct
who have the teachers remembered who will hear ?	8.264259338378906	who have the teachers remembered they will hear ?	8.006856918334961	correct
who will your friends remember who will look like ?	6.862940311431885	who will your friends remember they will look like ?	6.68921422958374	correct
what has n't this queen said who had talked about ?	7.695438861846924	what has n't this queen said she had talked about ?	7.029749393463135	correct
who were n't these people saying who can answer ?	7.410382270812988	who were n't these people saying they can answer ?	6.803750514984131	correct
what did n't this king realize who talks about ?	8.732577323913574	what did n't this king realize he talks about ?	8.391672134399414	correct
who is this girl hoping who confused ?	8.767802238464355	who is this girl hoping she confused ?	8.150424003601074	correct
what would n't my grandmother believe who loves ?	8.642521858215332	what would n't my grandmother believe she loves ?	7.885026931762695	correct
who had the girl remembered who talked to ?	8.130236625671387	who had the girl remembered she talked to ?	7.60630989074707	correct
who could n't Sally hope who could know ?	8.891348838806152	who could n't Sally hope she could know ?	8.326419830322266	correct
who are your teachers learning who would sound like ?	7.445780277252197	who are your teachers learning they would sound like ?	6.928853511810303	correct
who has n't Donald remembered who sounded like ?	8.438681602478027	who has n't Donald remembered he sounded like ?	8.44336986541748	incorrect
what had n't these teachers said who should remember ?	8.458645820617676	what had n't these teachers said they should remember ?	7.90460729598999	correct
who can these children think who taught ?	8.412221908569336	who can these children think they taught ?	7.887045860290527	correct
who have n't those teachers thought who worry ?	8.186667442321777	who have n't those teachers thought they worry ?	7.772525310516357	correct
who must your mom realize who lost ?	8.618887901306152	who must your mom realize she lost ?	8.311729431152344	correct
who may your friends think who have worked with ?	7.037750720977783	who may your friends think they have worked with ?	6.429015636444092	correct
who might the queen say who talks to ?	7.744325637817383	who might the queen say she talks to ?	7.004189491271973	correct
who had n't the people known who have heard ?	7.282749176025391	who had n't the people known they have heard ?	7.339188575744629	incorrect
