sentence1	PPL1	Sentence2	PPL2	Correct
Who should Mike tell a story to Jonathan while helping?	7.581579685211182	Who should Mike tell a story to while helping Jonathan?	7.745840549468994	incorrect
What did Sarah throw the ball after putting at home?	6.504225254058838	What did Sarah throw after putting the ball at home?	6.408257961273193	correct
Who should this boy tell the story to Richard after hitting?	6.889318466186523	Who should this boy tell the story to after hitting Richard?	7.156887054443359	incorrect
Who should Helen ask Catherine after arresting?	8.541454315185547	Who should Helen ask after arresting Catherine?	8.211721420288086	correct
Who did Ann see Kelly while attacking?	9.549426078796387	Who did Ann see while attacking Kelly?	9.564732551574707	incorrect
What did Ann show the result after producing?	8.443862915039062	What did Ann show after producing the result?	8.666878700256348	incorrect
Who should that father mention Ruth when telling the story to?	7.328435897827148	Who should that father mention when telling the story to Ruth?	6.993828773498535	correct
What did that father talk about history when studying?	7.317455768585205	What did that father talk about when studying history?	7.54681396484375	incorrect
Who should this president kill Andy before meeting?	8.724006652832031	Who should this president kill before meeting Andy?	8.954821586608887	incorrect
What did this president build the system before developing?	7.549798965454102	What did this president build before developing the system?	7.436944961547852	correct
Who should Peter trust Jerry after arresting?	8.752360343933105	Who should Peter trust after arresting Jerry?	8.219725608825684	correct
What did Peter help the student to do after arresting?	7.4378838539123535	What did Peter help to do after arresting the student?	6.944428443908691	correct
What should Walter watch Sarah before killing?	10.033597946166992	What should Walter watch before killing Sarah?	9.256572723388672	correct
What did Walter ask the question before answering?	6.350611209869385	What did Walter ask before answering the question?	6.274158954620361	correct
Who should the doctor talk to Louis after writing about?	7.401255130767822	Who should the doctor talk to after writing about Louis?	7.305722236633301	correct
What did the doctor hear the music after writing?	6.830052375793457	What did the doctor hear after writing the music?	6.586328506469727	correct
Who should Jason ask Catherine after leaving at home?	8.277019500732422	Who should Jason ask after leaving Catherine at home?	8.841132164001465	incorrect
Who should Louis call Jonathan after sending the letter?	7.757758140563965	Who should Louis call after sending Jonathan the letter?	8.497050285339355	incorrect
Who should Victoria meet Jason while sharing the food with?	8.720951080322266	Who should Victoria meet while sharing the food with Jason?	7.979098796844482	correct
Who did Victoria like the children while sharing the food with?	6.8341803550720215	Who did Victoria like while sharing the food with the children?	6.851682186126709	incorrect
Who should this professor support Victor while choosing?	10.127653121948242	Who should this professor support while choosing Victor?	9.839090347290039	correct
What did the girl throw the ball when she decided not to throw?	4.958571910858154	What did the girl throw when she decided not to throw the ball?	4.848196983337402	correct
What did this doctor enjoy the music while performing?	7.556040287017822	What did this doctor enjoy while performing the music?	7.349053382873535	correct
What did the brother take the picture after drawing?	6.892938613891602	What did the brother take after drawing the picture?	7.271309852600098	incorrect
Who should Bill understand Catherine before marrying?	9.287118911743164	Who should Bill understand before marrying Catherine?	9.443309783935547	incorrect
