,best
adjunct_island,0.474
adv_order,0.905
anaphor_gender_agreement,0.521
anaphor_number_agreement,0.761
center_embedding_double_1,0.642
center_embedding_double_2,0.634
center_embedding_single_1,0.744
center_embedding_single_2,0.641
complex_np_island,0.294
coordinate_structure_constrain_object_extraction,0.667
determiner_noun_agreement_1,0.843
determiner_noun_agreement_2,0.822
determiner_noun_agreement_adj_1,0.776
determiner_noun_agreement_adj_2,0.772
ellipsis,0.686
green_ideas,0.622
intransitive,0.48
left_branch_island_simple_question,0.449
matrix_question_npi_licensor_present,0.144
npi_present,0.556
only_npi_licensor_present,0.779
only_npi_scope,0.864
pp_order,0.682
principle_A_c_command,0.613
principle_A_domain_1,1.0
principle_A_domain_2,0.632
principle_A_domain_3,0.463
recursion_intensifier_adj_long,0.829
recursion_intensifier_adj_medium,0.961
recursion_intensifier_adj_short,0.983
recursion_intensifier_adv_long,0.184
recursion_intensifier_adv_medium,0.128
recursion_intensifier_adv_short,0.137
recursion_poss_ditransitive_long,0.739
recursion_poss_ditransitive_medium,0.708
recursion_poss_ditransitive_short,0.648
recursion_poss_transitive_long,1.0
recursion_poss_transitive_medium,1.0
recursion_poss_transitive_short,1.0
recursion_pp_is_long,0.312
recursion_pp_is_medium,0.407
recursion_pp_is_short,0.659
recursion_pp_verb_long,0.319
recursion_pp_verb_medium,0.463
recursion_pp_verb_short,0.765
sentential_negation_npi_licensor_present,0.336
sentential_negation_npi_scope,0.678
subj_aux_agreement_question_vary_aux,0.608
subj_aux_agreement_question_vary_subj,0.551
subj_aux_vary_subj,0.811
subj_aux_vary_verb,0.94
subj_aux_vary_verb_pp,0.694
subj_aux_vary_verb_rc,0.645
subj_verb_vary_verb,0.816
svo_vos,0.723
swapped_ditransitive_1,0.456
swapped_ditransitive_2,0.674
transitive,0.534
wh_island,0.686
wh_questions_object_gap,0.607
wh_questions_object_gap_long_distance,0.479
wh_questions_subject_gap,0.886
wh_questions_subject_gap_long_distance,0.931
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.112
wh_vs_that_with_gap_long_distance,0.095
