sentence1	PPL1	Sentence2	PPL2	Correct
Donald can imagine those college campuses are boring himself.	7.731037139892578	Donald can imagine those college campuses are boring themselves.	7.318178653717041	correct
Gerald was explaining Patricia was revealing himself.	7.246308326721191	Gerald was explaining Patricia was revealing herself.	7.303488731384277	incorrect
Mark imagines Erin might admire himself.	8.374999046325684	Mark imagines Erin might admire herself.	8.379081726074219	incorrect
Gary imagined most reports upset himself.	9.445613861083984	Gary imagined most reports upset themselves.	8.879281997680664	correct
A lot of doctors hadn't imagined Denise notices themselves.	6.921189785003662	A lot of doctors hadn't imagined Denise notices herself.	6.933870792388916	incorrect
Edward didn't think some teachers weren't discussing himself.	5.84883975982666	Edward didn't think some teachers weren't discussing themselves.	5.447795867919922	correct
The Borgias explain Scott had talked to themselves.	7.890920162200928	The Borgias explain Scott had talked to himself.	7.50767707824707	correct
Valerie doesn't think Russell sounds like herself.	6.450276851654053	Valerie doesn't think Russell sounds like himself.	6.446774482727051	correct
Craig hasn't thought Jessica praised himself.	7.048942565917969	Craig hasn't thought Jessica praised herself.	7.026320457458496	correct
Holly would say some slope didn't irritate herself.	6.6139349937438965	Holly would say some slope didn't irritate itself.	6.773274898529053	incorrect
Sally wouldn't explain Rodney confused herself.	8.459566116333008	Sally wouldn't explain Rodney confused himself.	8.271262168884277	correct
The dancer said Jeffrey doesn't find herself.	6.127033233642578	The dancer said Jeffrey doesn't find himself.	5.855607032775879	correct
Beverly had said Homer was concealing herself.	6.324641704559326	Beverly had said Homer was concealing himself.	6.406712532043457	incorrect
The Impressionists think that window distracted themselves.	7.5364251136779785	The Impressionists think that window distracted itself.	7.563076496124268	incorrect
Those waitresses say Curtis hadn't alarmed themselves.	7.96883487701416	Those waitresses say Curtis hadn't alarmed himself.	8.256674766540527	incorrect
Guy does explain Judy argued about himself.	7.389245986938477	Guy does explain Judy argued about herself.	7.479832172393799	incorrect
James says Kayla helped himself.	8.650163650512695	James says Kayla helped herself.	8.747642517089844	incorrect
Joel can't explain some girl can't visit himself.	6.192718029022217	Joel can't explain some girl can't visit herself.	6.213827133178711	incorrect
Victoria thinks Harvard University isn't firing herself.	7.547149181365967	Victoria thinks Harvard University isn't firing itself.	7.5807108879089355	incorrect
Alice has said Craig did upset herself.	7.093576908111572	Alice has said Craig did upset himself.	7.291840553283691	incorrect
Allison has imagined Christopher had concealed herself.	8.182958602905273	Allison has imagined Christopher had concealed himself.	8.236908912658691	incorrect
Jerry said the rabbit had annoyed himself.	5.996187210083008	Jerry said the rabbit had annoyed itself.	6.57548713684082	incorrect
Rodney is saying Renee hadn't fled from himself.	7.801554203033447	Rodney is saying Renee hadn't fled from herself.	7.808675765991211	incorrect
Many patients aren't saying Roger kisses themselves.	6.500019073486328	Many patients aren't saying Roger kisses himself.	6.988061904907227	incorrect
Rachel explains Matt thinks about herself.	8.375499725341797	Rachel explains Matt thinks about himself.	8.1863431930542	correct
The children weren't imagining Anna knows themselves.	6.921847343444824	The children weren't imagining Anna knows herself.	7.1455078125	incorrect
Vincent would say many patients can research himself.	7.592259883880615	Vincent would say many patients can research themselves.	7.002699375152588	correct
Karla was saying the Impressionists were leaving herself.	6.391836166381836	Karla was saying the Impressionists were leaving themselves.	5.917646884918213	correct
Diana wasn't explaining Lawrence wasn't curing herself.	6.800673484802246	Diana wasn't explaining Lawrence wasn't curing himself.	6.644309997558594	correct
Beth isn't imagining Dennis won't listen to herself.	6.801933288574219	Beth isn't imagining Dennis won't listen to himself.	6.432441234588623	correct
Every actress imagines Raymond shouldn't care for herself.	7.176728248596191	Every actress imagines Raymond shouldn't care for himself.	7.130106449127197	correct
Michelle was thinking Joel was healing herself.	8.309286117553711	Michelle was thinking Joel was healing himself.	8.265023231506348	correct
Caroline has explained Stephen is working with herself.	7.256747722625732	Caroline has explained Stephen is working with himself.	7.11728572845459	correct
Nancy imagines this book hasn't impressed herself.	7.057193279266357	Nancy imagines this book hasn't impressed itself.	7.065895080566406	incorrect
Aaron thinks Anna upset himself.	8.133737564086914	Aaron thinks Anna upset herself.	7.9897990226745605	correct
Those students have explained Valerie hides themselves.	8.305322647094727	Those students have explained Valerie hides herself.	9.129096984863281	incorrect
Erin says Scott is kissing herself.	6.560759544372559	Erin says Scott is kissing himself.	6.742040634155273	incorrect
Rebecca thought Rodney will praise herself.	7.915831089019775	Rebecca thought Rodney will praise himself.	7.897820472717285	correct
Teresa won't think Timothy bored herself.	7.037885665893555	Teresa won't think Timothy bored himself.	7.078647136688232	incorrect
Some dancers explain Sonia didn't distract themselves.	8.805990219116211	Some dancers explain Sonia didn't distract herself.	8.765671730041504	correct
Many teenagers explain Valerie reveals themselves.	10.124122619628906	Many teenagers explain Valerie reveals herself.	10.193838119506836	incorrect
John has said April loved himself.	6.710320472717285	John has said April loved herself.	6.903134822845459	incorrect
Adults think Clyde approaches themselves.	8.699609756469727	Adults think Clyde approaches himself.	9.191222190856934	incorrect
Susan won't say that organization admired herself.	7.333191871643066	Susan won't say that organization admired itself.	7.186866760253906	correct
Many children explain Derek should work with themselves.	7.419512748718262	Many children explain Derek should work with himself.	7.629315376281738	incorrect
Mark explains Pamela should forget himself.	9.11078929901123	Mark explains Pamela should forget herself.	9.010114669799805	correct
Clyde said Caroline shouldn't argue about himself.	6.754919528961182	Clyde said Caroline shouldn't argue about herself.	6.939145565032959	incorrect
Meredith was explaining Steven returns to herself.	8.977701187133789	Meredith was explaining Steven returns to himself.	8.599576950073242	correct
Maria thinks many shoes shocked herself.	7.503477573394775	Maria thinks many shoes shocked themselves.	7.624774932861328	incorrect
Those teachers think Walter remembers themselves.	8.245100975036621	Those teachers think Walter remembers himself.	8.760353088378906	incorrect
Some men say Alexander praises themselves.	6.866313934326172	Some men say Alexander praises himself.	7.2466630935668945	incorrect
Dana says Carl works with herself.	6.623995304107666	Dana says Carl works with himself.	6.5160813331604	correct
Caroline has explained the cups haven't alarmed herself.	7.757556915283203	Caroline has explained the cups haven't alarmed themselves.	7.73306131362915	correct
Children think Thomas notices themselves.	8.940752029418945	Children think Thomas notices himself.	8.948138236999512	incorrect
Raymond is saying Becky isn't talking about himself.	5.230806827545166	Raymond is saying Becky isn't talking about herself.	5.3411736488342285	incorrect
Richard hasn't thought the banana won't bore himself.	5.736815929412842	Richard hasn't thought the banana won't bore itself.	5.655619144439697	correct
Grace explained Roger won't cure herself.	7.499075889587402	Grace explained Roger won't cure himself.	7.254223823547363	correct
Cheryl doesn't say some children have hugged herself.	6.055666923522949	Cheryl doesn't say some children have hugged themselves.	5.71462345123291	correct
Becky wasn't saying Robert cares for herself.	6.934525966644287	Becky wasn't saying Robert cares for himself.	6.600282192230225	correct
Homer hadn't said Sara hadn't left himself.	6.78915548324585	Homer hadn't said Sara hadn't left herself.	6.691431522369385	correct
