sentence1	PPL1	Sentence2	PPL2	Correct
Who have those men revealed who helped?	6.858669281005859	Who have those men revealed they helped?	6.894783973693848	incorrect
Who isn't Craig realizing who kisses?	7.189272880554199	Who isn't Craig realizing he kisses?	6.701384544372559	correct
Who are those associations discovering who saw?	8.1261568069458	Who are those associations discovering they saw?	8.125972747802734	correct
What wasn't Nicole discovering who climbed down?	8.108293533325195	What wasn't Nicole discovering she climbed down?	7.889796733856201	correct
What could Alan discover who has run around?	6.212897300720215	What could Alan discover he has run around?	6.302173614501953	incorrect
Who shouldn't Andrew find out what was embarrassing?	4.617127418518066	Who shouldn't Andrew find out he was embarrassing?	4.856097221374512	incorrect
What was this woman revealing who would examine?	6.442956924438477	What was this woman revealing she would examine?	6.427732944488525	correct
What didn't Edward conceal who hasn't noticed?	6.203773021697998	What didn't Edward conceal he hasn't noticed?	6.2046051025390625	incorrect
Who hadn't Tanya known who hadn't visited?	5.316805362701416	Who hadn't Tanya known she hadn't visited?	5.333471298217773	incorrect
Who wasn't Teresa forgetting who sees?	7.298721790313721	Who wasn't Teresa forgetting she sees?	7.28079891204834	correct
Who can't Douglas realize who had investigated?	7.028118133544922	Who can't Douglas realize he had investigated?	6.68963623046875	correct
What had the museums learned who weren't skated around?	6.275012016296387	What had the museums learned they weren't skated around?	6.174185752868652	correct
Who haven't these associations discovered what could annoy?	7.612085819244385	Who haven't these associations discovered they could annoy?	7.645205974578857	incorrect
Who can't some universities forget what aggravated?	6.237560272216797	Who can't some universities forget they aggravated?	6.4512481689453125	incorrect
What shouldn't these guys remember what are climbing down?	5.222920894622803	What shouldn't these guys remember they are climbing down?	5.0788140296936035	correct
Who shouldn't Janet know who doesn't reveal?	5.315826416015625	Who shouldn't Janet know she doesn't reveal?	5.34810209274292	incorrect
What is Connie remembering who can't see?	5.88601541519165	What is Connie remembering she can't see?	5.886019229888916	incorrect
What was this actor figuring out who is scanning?	5.773342609405518	What was this actor figuring out she is scanning?	6.248100280761719	incorrect
What isn't Dawn revealing who couldn't complain about?	6.484058856964111	What isn't Dawn revealing she couldn't complain about?	6.084756374359131	correct
Who couldn't Helen conceal who shouldn't leave?	6.007848739624023	Who couldn't Helen conceal she shouldn't leave?	6.049082279205322	incorrect
What hadn't Pamela investigated who admired?	7.935809135437012	What hadn't Pamela investigated she admired?	7.658356666564941	correct
Who wasn't Margaret figuring out who questioned?	6.500951290130615	Who wasn't Margaret figuring out she questioned?	6.601600170135498	incorrect
Who would that senator realize who was listening to?	6.497410297393799	Who would that senator realize she was listening to?	6.4290547370910645	correct
Who should Rhonda find out who hugs?	5.186687469482422	Who should Rhonda find out she hugs?	5.393142223358154	incorrect
What isn't Keith remembering who hasn't cleaned?	5.366105556488037	What isn't Keith remembering he hasn't cleaned?	5.331587791442871	correct
Who hasn't Ann known who works with?	5.920126914978027	Who hasn't Ann known she works with?	6.28900671005249	incorrect
What was Candice finding out who will mess up?	5.98235559463501	What was Candice finding out she will mess up?	6.185908794403076	incorrect
What was Linda concealing who hadn't fixed?	6.638972759246826	What was Linda concealing she hadn't fixed?	6.550332546234131	correct
Who were the boys revealing who wouldn't impress?	6.341444492340088	Who were the boys revealing they wouldn't impress?	6.3411712646484375	correct
Who hasn't Emily known who won't forget?	5.468605995178223	Who hasn't Emily known she won't forget?	5.578372955322266	incorrect
What could Amelia figure out who has left?	5.958535194396973	What could Amelia figure out she has left?	5.996253967285156	incorrect
Who won't Barbara investigate what had stunned?	6.994922161102295	Who won't Barbara investigate she had stunned?	6.877765655517578	correct
Who wouldn't Randolf learn who revealed?	8.509695053100586	Who wouldn't Randolf learn he revealed?	8.590543746948242	incorrect
Who does Chad remember who did talk to?	7.4564313888549805	Who does Chad remember he did talk to?	7.045570373535156	correct
Who hadn't Deborah revealed what can scare?	5.968081951141357	Who hadn't Deborah revealed she can scare?	5.907190322875977	correct
What hadn't Victoria learned who runs around?	6.94376277923584	What hadn't Victoria learned she runs around?	6.955952167510986	incorrect
Who is Caroline learning who should cure?	7.634469509124756	Who is Caroline learning she should cure?	7.586845397949219	correct
What hasn't Eric discovered who is bringing?	7.004983901977539	What hasn't Eric discovered he is bringing?	6.7823333740234375	correct
What hasn't Carlos concealed who buys?	7.486606121063232	What hasn't Carlos concealed he buys?	7.361813068389893	correct
What would Allison know who didn't drop by?	6.438014507293701	What would Allison know she didn't drop by?	6.280385494232178	correct
Who hasn't Kristin learned who can care for?	5.480356216430664	Who hasn't Kristin learned she can care for?	5.247664451599121	correct
Who had Eric found out who astounded?	6.629077911376953	Who had Eric found out he astounded?	6.500012397766113	correct
What have a lot of cashiers concealed who found?	7.1274542808532715	What have a lot of cashiers concealed they found?	6.4893083572387695	correct
What does Regina figure out who wasn't breaking?	6.199213027954102	What does Regina figure out she wasn't breaking?	6.027057647705078	correct
What did Gregory investigate who couldn't walk through?	6.141233921051025	What did Gregory investigate he couldn't walk through?	6.061553478240967	correct
What can't Diane find out who isn't wearing?	5.212775230407715	What can't Diane find out she isn't wearing?	5.1386399269104	correct
What has Florence revealed who drops by?	8.399368286132812	What has Florence revealed she drops by?	8.48072338104248	incorrect
What wasn't a teacher finding out who climbs down?	5.441915035247803	What wasn't a teacher finding out she climbs down?	5.976222038269043	incorrect
Who doesn't Sarah learn who was attacking?	7.089894771575928	Who doesn't Sarah learn she was attacking?	6.870984077453613	correct
Who wasn't Becca revealing who kisses?	7.20585298538208	Who wasn't Becca revealing she kisses?	7.564047813415527	incorrect
Who couldn't many students forget who weren't concealing?	5.756256103515625	Who couldn't many students forget they weren't concealing?	5.541675567626953	correct
