sentence1	PPL1	Sentence2	PPL2	Correct
Ben thinks about himself called this fuel .	8.04051399230957	Ben thinks about himself calling this fuel .	8.114982604980469	incorrect
Anne thinks about herself called this fuel .	7.938852310180664	Anne thinks about herself calling this fuel .	7.635984420776367	correct
Ben thinks about himself gets this fuel .	8.900528907775879	Ben thinks about himself getting this fuel .	8.11970043182373	correct
Anne thinks about herself gets this fuel .	8.267683982849121	Anne thinks about herself getting this fuel .	7.431164264678955	correct
Roger thinks about himself tried this stand .	7.583680152893066	Roger thinks about himself trying this stand .	6.807291030883789	correct
Laura thinks about herself tried this stand .	8.498825073242188	Laura thinks about herself trying this stand .	7.558961391448975	correct
Roger thinks about himself makes this stand .	6.301459789276123	Roger thinks about himself making this stand .	5.98852014541626	correct
Laura thinks about herself makes this stand .	7.088827133178711	Laura thinks about herself making this stand .	6.594037055969238	correct
Bill must not think about himself put away some color .	6.676048278808594	Bill must not think about himself putting away some color .	6.3253607749938965	correct
Sarah must not think about herself put away some color .	6.025320053100586	Sarah must not think about herself putting away some color .	5.7576470375061035	correct
Bill must not think about himself plans some color .	7.46049690246582	Bill must not think about himself planning some color .	7.047861576080322	correct
Sarah must not think about herself plans some color .	6.694973945617676	Sarah must not think about herself planning some color .	6.399942874908447	correct
Bill did not think about himself moved some back .	6.919864654541016	Bill did not think about himself moving some back .	6.248826026916504	correct
Sarah did not think about herself moved some back .	6.513014793395996	Sarah did not think about herself moving some back .	6.033437252044678	correct
Bill did not think about himself plans some back .	6.924496650695801	Bill did not think about himself planning some back .	6.512665748596191	correct
Sarah did not think about herself plans some back .	6.35220193862915	Sarah did not think about herself planning some back .	6.073050498962402	correct
Henry must think about himself put away a guess .	6.209671974182129	Henry must think about himself putting away a guess .	5.951760292053223	correct
Sarah must think about herself put away a guess .	6.43527364730835	Sarah must think about herself putting away a guess .	6.259704113006592	correct
Henry must think about himself sees a guess .	6.692990303039551	Henry must think about himself seeing a guess .	6.170388221740723	correct
Sarah must think about herself sees a guess .	7.305866241455078	Sarah must think about herself seeing a guess .	6.6373291015625	correct
William thinks about himself called that ball .	7.765591144561768	William thinks about himself calling that ball .	7.149057388305664	correct
Sarah thinks about herself called that ball .	6.673563480377197	Sarah thinks about herself calling that ball .	6.378759860992432	correct
William thinks about himself runs to that ball .	7.40684175491333	William thinks about himself running to that ball .	6.619711399078369	correct
Sarah thinks about herself runs to that ball .	6.3167572021484375	Sarah thinks about herself running to that ball .	5.734419345855713	correct
Mark did not think about himself covered this whale .	6.244867324829102	Mark did not think about himself covering this whale .	5.788413047790527	correct
Sarah did not think about herself covered this whale .	6.380472660064697	Sarah did not think about herself covering this whale .	5.940115451812744	correct
Mark did not think about himself calls this whale .	6.228474140167236	Mark did not think about himself calling this whale .	5.545438289642334	correct
Sarah did not think about herself calls this whale .	6.4124040603637695	Sarah did not think about herself calling this whale .	5.797770023345947	correct
Obama must think about himself put away some plan .	6.936975955963135	Obama must think about himself putting away some plan .	6.659356594085693	correct
Laura must think about herself put away some plan .	6.675907135009766	Laura must think about herself putting away some plan .	6.414227485656738	correct
Obama must think about himself stands some plan .	8.163497924804688	Obama must think about himself standing some plan .	7.830908298492432	correct
Laura must think about herself stands some plan .	8.062091827392578	Laura must think about herself standing some plan .	7.689632892608643	correct
Simon must think about himself lived in some memory .	7.3583245277404785	Simon must think about himself living in some memory .	6.883182525634766	correct
Laura must think about herself lived in some memory .	7.415286540985107	Laura must think about herself living in some memory .	6.966815948486328	correct
Simon must think about himself calls some memory .	8.298704147338867	Simon must think about himself calling some memory .	7.80871057510376	correct
Laura must think about herself calls some memory .	8.250811576843262	Laura must think about herself calling some memory .	7.662068843841553	correct
Michael thought about himself read this media .	8.665821075439453	Michael thought about himself reading this media .	8.441829681396484	correct
Sarah thought about herself read this media .	8.074227333068848	Sarah thought about herself reading this media .	7.656148910522461	correct
Michael thought about himself depends this media .	9.692460060119629	Michael thought about himself depending this media .	9.3920316696167	correct
Sarah thought about herself depends this media .	9.250860214233398	Sarah thought about herself depending this media .	9.065372467041016	correct
Michael did not think about himself set up that label .	6.3535685539245605	Michael did not think about himself setting up that label .	6.267286777496338	correct
Sarah did not think about herself set up that label .	5.5238823890686035	Sarah did not think about herself setting up that label .	5.57971715927124	incorrect
Michael did not think about himself stands that label .	7.746376991271973	Michael did not think about himself standing that label .	7.0757646560668945	correct
Sarah did not think about herself stands that label .	6.976025581359863	Sarah did not think about herself standing that label .	6.268841743469238	correct
Carter could think about himself tried that bird .	8.672379493713379	Carter could think about himself trying that bird .	7.745329856872559	correct
Anne could think about herself tried that bird .	7.531315803527832	Anne could think about herself trying that bird .	6.537135124206543	correct
Carter could think about himself takes that bird .	8.49808120727539	Carter could think about himself taking that bird .	7.473886489868164	correct
Anne could think about herself takes that bird .	7.77175235748291	Anne could think about herself taking that bird .	6.536098480224609	correct
Chris thought about himself served some valley .	9.435680389404297	Chris thought about himself serving some valley .	9.1592435836792	correct
Sarah thought about herself served some valley .	8.92346477508545	Sarah thought about herself serving some valley .	8.38322639465332	correct
Chris thought about himself depends some valley .	9.495672225952148	Chris thought about himself depending some valley .	9.460723876953125	correct
Sarah thought about herself depends some valley .	9.06342887878418	Sarah thought about herself depending some valley .	9.185492515563965	incorrect
Roger could think about himself tried some procedure .	7.3861846923828125	Roger could think about himself trying some procedure .	6.531059265136719	correct
Maria could think about herself tried some procedure .	8.639668464660645	Maria could think about herself trying some procedure .	7.673146724700928	correct
Roger could think about himself tests some procedure .	7.443122863769531	Roger could think about himself testing some procedure .	7.006160259246826	correct
Maria could think about herself tests some procedure .	8.878464698791504	Maria could think about herself testing some procedure .	8.2595796585083	correct
Alexander must not think about himself tried that bear .	6.416821479797363	Alexander must not think about himself trying that bear .	5.629094123840332	correct
Maria must not think about herself tried that bear .	7.742994785308838	Maria must not think about herself trying that bear .	6.861564636230469	correct
Alexander must not think about himself studies that bear .	6.33479118347168	Alexander must not think about himself studying that bear .	5.708654403686523	correct
Maria must not think about herself studies that bear .	7.313792705535889	Maria must not think about herself studying that bear .	6.7331671714782715	correct
Edward thought about himself called the label .	7.485718250274658	Edward thought about himself calling the label .	7.206613540649414	correct
Maria thought about herself called the label .	8.03730297088623	Maria thought about herself calling the label .	7.5722880363464355	correct
Edward thought about himself changes the label .	7.700419902801514	Edward thought about himself changing the label .	6.932417869567871	correct
Maria thought about herself changes the label .	8.264755249023438	Maria thought about herself changing the label .	7.558643341064453	correct
Robert did not think about himself lived in that movie .	5.793424606323242	Robert did not think about himself living in that movie .	5.31432580947876	correct
Laura did not think about herself lived in that movie .	5.976238250732422	Laura did not think about herself living in that movie .	5.392901420593262	correct
Robert did not think about himself studies that movie .	6.107330322265625	Robert did not think about himself studying that movie .	5.452841758728027	correct
Laura did not think about herself studies that movie .	6.506491184234619	Laura did not think about herself studying that movie .	5.763942241668701	correct
Simon could think about himself put away that back .	7.225907802581787	Simon could think about himself putting away that back .	6.7440185546875	correct
Sarah could think about herself put away that back .	6.207564830780029	Sarah could think about herself putting away that back .	5.88614559173584	correct
Simon could think about himself makes that back .	7.669962406158447	Simon could think about himself making that back .	7.1809539794921875	correct
Sarah could think about herself makes that back .	6.996918678283691	Sarah could think about herself making that back .	6.477566719055176	correct
Chris must think about himself put away that counter .	7.339122772216797	Chris must think about himself putting away that counter .	6.858778476715088	correct
Maria must think about herself put away that counter .	7.414067268371582	Maria must think about herself putting away that counter .	7.070504665374756	correct
Chris must think about himself covers that counter .	7.767210483551025	Chris must think about himself covering that counter .	7.66288423538208	correct
Maria must think about herself covers that counter .	7.986780643463135	Maria must think about herself covering that counter .	7.835348606109619	correct
Simon thought about himself moved a home .	8.05415153503418	Simon thought about himself moving a home .	7.280202865600586	correct
Sarah thought about herself moved a home .	7.602296829223633	Sarah thought about herself moving a home .	6.691241264343262	correct
Roger must think about himself put away this bird .	6.174435138702393	Roger must think about himself putting away this bird .	5.714590072631836	correct
Sarah must think about herself put away this bird .	6.14254903793335	Sarah must think about herself putting away this bird .	5.7789530754089355	correct
Roger must think about himself depends this bird .	7.133670330047607	Roger must think about himself depending this bird .	7.020729064941406	correct
Sarah must think about herself depends this bird .	7.628611087799072	Sarah must think about herself depending this bird .	7.596856117248535	correct
Obama must not think about himself called the game .	6.232516288757324	Obama must not think about himself calling the game .	6.035023212432861	correct
Sarah must not think about herself called the game .	5.451269626617432	Sarah must not think about herself calling the game .	5.49086332321167	incorrect
Obama must not think about himself looks at the game .	6.1020965576171875	Obama must not think about himself looking at the game .	5.568107604980469	correct
