sentence1	PPL1	Sentence2	PPL2	Correct
Who did the customer who talked to love that man?	4.623883247375488	Who did the customer who talked to that man love?	4.909399509429932	incorrect
Who did the customer who loved talk to that man?	4.772139072418213	Who did the customer who loved that man talk to?	4.8752570152282715	incorrect
What did this male professor who understood follow the rule?	6.607000827789307	What did this male professor who understood the rule follow?	7.236614227294922	incorrect
What did this male professor who protected understand the rule?	7.020530700683594	What did this male professor who protected the rule understand?	6.96773099899292	correct
Who did the writer who trusted call that teacher?	6.120772838592529	Who did the writer who trusted that teacher call?	6.529935359954834	incorrect
Who did the writer who called trust that teacher?	6.134891986846924	Who did the writer who called that teacher trust?	5.880400657653809	correct
Who did this male professor who contacted see this child?	6.281545162200928	Who did this male professor who contacted this child see?	6.6395263671875	incorrect
Who did this male professor who saw contact this child?	6.054207801818848	Who did this male professor who saw this child contact?	6.446254253387451	incorrect
Who did the visitor who defeated beat Mike?	6.757789134979248	Who did the visitor who defeated Mike beat?	6.944646835327148	incorrect
Who did that prince who beat defeat Alice?	6.922749996185303	Who did that prince who beat Alice defeat?	7.115977764129639	incorrect
Who did the student who trusted visit Robert?	6.720672130584717	Who did the student who trusted Robert visit?	6.655550956726074	correct
Who did this daughter who beat talk to that president?	6.303173065185547	Who did this daughter who beat that president talk to?	6.129487037658691	correct
Who did this daughter who talked to beat that president?	5.886619567871094	Who did this daughter who talked to that president beat?	6.209907531738281	incorrect
Who did this male president who believed hide the teacher?	7.087285041809082	Who did this male president who believed the teacher hide?	7.209611415863037	incorrect
Who did this male president who hid believe the teacher?	7.172162055969238	Who did this male president who hid the teacher believe?	7.190567970275879	incorrect
Who did the judge who saw contact this minister?	5.7439866065979	Who did the judge who saw this minister contact?	6.328936576843262	incorrect
Who did the judge who contacted see this minister?	6.108767986297607	Who did the judge who contacted this minister see?	6.490544319152832	incorrect
Who did the doctor who talked to beat Alexander?	5.4994025230407715	Who did the doctor who talked to Alexander beat?	5.596323490142822	incorrect
Who did the doctor who beat talk to Alexander?	5.507485389709473	Who did the doctor who beat Alexander talk to?	5.717411518096924	incorrect
Who did that female president who met support this parent?	6.403064250946045	Who did that female president who met this parent support?	6.516029357910156	incorrect
Who did that female president who supported meet this parent?	6.391942501068115	Who did that female president who supported this parent meet?	6.698254585266113	incorrect
Who did that daughter who believed call the police?	5.575636386871338	Who did that daughter who believed the police call?	5.653860569000244	incorrect
Who did that daughter who called believe the police?	5.8248515129089355	Who did that daughter who called the police believe?	5.7076921463012695	correct
Who did the professor who found talk to this student?	5.115711212158203	Who did the professor who found this student talk to?	5.23982048034668	incorrect
Who did the professor who talked to find this student?	4.747960567474365	Who did the professor who talked to this student find?	5.450181007385254	incorrect
Who did the judge who beat select that teacher?	6.479104042053223	Who did the judge who beat that teacher select?	6.651829719543457	incorrect
Who did the judge who selected beat that teacher?	6.258768558502197	Who did the judge who selected that teacher beat?	6.528433322906494	incorrect
Who did the driver who beat save this doctor?	5.408012390136719	Who did the driver who beat this doctor save?	5.607834815979004	incorrect
Who did the driver who saved beat this doctor?	5.513266086578369	Who did the driver who saved this doctor beat?	5.904481410980225	incorrect
Who did his wife who trusted defeat Henry?	6.86961555480957	Who did his wife who trusted Henry defeat?	6.424982070922852	correct
Who did his wife who defeated trust Henry?	7.007101058959961	Who did his wife who defeated Henry trust?	6.393026351928711	correct
Who did the coach who visited talk to this leader?	5.464595794677734	Who did the coach who visited this leader talk to?	5.731161594390869	incorrect
Who did the coach who talked to visit this leader?	5.039506435394287	Who did the coach who talked to this leader visit?	5.527212619781494	incorrect
Who did the girl who visited attack that team?	5.8925886154174805	Who did the girl who visited that team attack?	5.746675491333008	correct
Who did the girl who attacked visit that team?	5.812227249145508	Who did the girl who attacked that team visit?	5.994441509246826	incorrect
Who did the driver who saved visit Mary?	6.0851030349731445	Who did the driver who saved Mary visit?	6.123682975769043	incorrect
Who did the driver who visited save Mary?	5.690237998962402	Who did the driver who visited Mary save?	6.209600925445557	incorrect
