sentence1	PPL1	Sentence2	PPL2	Correct
Catherine sees herself joined this committee.	6.987005233764648	Catherine sees herself joining this committee.	6.713583469390869	correct
Gary sees himself joined this committee.	6.18282413482666	Gary sees himself joining this committee.	5.856253623962402	correct
The girl explains that the man believes in herself.	5.295652866363525	The girl explains that the man believes in himself.	5.148280143737793	correct
Jerry explains that the female player believes in himself.	6.353616714477539	Jerry explains that the female player believes in herself.	6.334284782409668	correct
Kelly knows that the king enjoys herself.	6.252070903778076	Kelly knows that the king enjoys himself.	5.764147758483887	correct
Anthony knows that the female president enjoys himself.	5.983326435089111	Anthony knows that the female president enjoys herself.	6.067370891571045	incorrect
Kelly imagines herself enjoyed that music.	6.8006510734558105	Kelly imagines herself enjoying that music.	6.010965824127197	correct
Anthony caught himself enjoyed that music.	7.251937389373779	Anthony caught himself enjoying that music.	6.542412757873535	correct
Alice knows that the man introduces herself to others.	4.45512580871582	Alice knows that the man introduces himself to others.	4.487748146057129	incorrect
William knows that the woman introduces himself to others.	4.52362060546875	William knows that the woman introduces herself to others.	4.196929931640625	correct
Alice pictures herself described the process.	7.352626800537109	Alice pictures herself describing the process.	6.979907035827637	correct
William pictures himself described the process.	7.41005802154541	William pictures himself describing the process.	6.783945083618164	correct
Victoria explains that the father hides herself.	6.056102752685547	Victoria explains that the father hides himself.	5.653502941131592	correct
Jack explains that his mother hides himself.	6.198611259460449	Jack explains that his mother hides herself.	6.212954521179199	incorrect
Sarah shows that her brother enjoys herself.	6.666619300842285	Sarah shows that her brother enjoys himself.	6.735597610473633	incorrect
Robert shows that the female president enjoys himself.	5.762622833251953	Robert shows that the female president enjoys herself.	5.764688014984131	incorrect
Sarah caught herself enjoyed the film.	6.79127836227417	Sarah caught herself enjoying the film.	5.898690700531006	correct
Robert caught himself enjoyed the film.	5.945839881896973	Robert caught himself enjoying the film.	5.209257125854492	correct
The daughter imagines herself opened this door.	6.354068756103516	The daughter imagines herself opening this door.	6.731114387512207	incorrect
Dan imagines himself opened this door.	7.093439102172852	Dan imagines himself opening this door.	7.3651604652404785	incorrect
Jane feels that the prince teaches herself French.	6.68571662902832	Jane feels that the prince teaches himself French.	6.436786651611328	correct
The king feels that the wife teaches himself French.	7.049367427825928	The king feels that the wife teaches herself French.	6.789337158203125	correct
Jane imagines herself taught the course.	7.187361717224121	Jane imagines herself teaching the course.	7.101456642150879	correct
The king saw himself taught the course.	6.427466869354248	The king saw himself teaching the course.	6.214389324188232	correct
Anna feels that the father depends on herself.	7.03494930267334	Anna feels that the father depends on himself.	7.052021026611328	incorrect
The male player feels that the wife depends on himself.	6.166755676269531	The male player feels that the wife depends on herself.	5.812680721282959	correct
Anna imagines herself lived with her parents.	5.951665878295898	Anna imagines herself living with her parents.	5.509305000305176	correct
The male player sees himself lived with his parents.	6.038154602050781	The male player sees himself living with his parents.	5.568050384521484	correct
Maria imagines herself finished a project.	7.140575408935547	Maria imagines herself finishing a project.	7.118554592132568	correct
Oliver imagines himself finished a project.	7.388516902923584	Oliver imagines himself finishing a project.	7.386444091796875	correct
The wife hears that the male player sees herself appear on television.	5.984563827514648	The wife hears that the male player sees himself appear on television.	5.98268461227417	correct
The father hears that the female president sees himself appear on television.	5.931828498840332	The father hears that the female president sees herself appear on television.	5.876514434814453	correct
The wife sees herself joined the party.	5.884465217590332	The wife sees herself joining the party.	5.429294109344482	correct
The father sees himself joined the party.	5.657823085784912	The father sees himself joining the party.	5.268614768981934	correct
The lady heard that the brother introduced herself to others.	5.611990451812744	The lady heard that the brother introduced himself to others.	5.4470343589782715	correct
Adam heard that the female president introduced himself to others.	5.750063896179199	Adam heard that the female president introduced herself to others.	5.9118194580078125	incorrect
The lady imagines herself started this project.	6.406539440155029	The lady imagines herself starting this project.	6.492973327636719	incorrect
Adam sees himself started this project.	6.574657917022705	Adam sees himself starting this project.	6.192979335784912	correct
The boy wrote that the lady protected himself.	5.676484107971191	The boy wrote that the lady protected herself.	5.654240608215332	correct
The boy pictures himself opened the museum.	7.4788498878479	The boy pictures himself opening the museum.	7.467540740966797	correct
Ann means that the father improves herself.	5.6263508796691895	Ann means that the father improves himself.	5.608328819274902	correct
The male president means that the lady improves himself.	6.0724663734436035	The male president means that the lady improves herself.	5.695065021514893	correct
