,best
agreement_determiner_noun-across_1_adjective,0.5
agreement_determiner_noun-between_neighbors,0.5105
agreement_subject_verb-across_prepositional_phrase,0.5
agreement_subject_verb-across_relative_clause,0.502
agreement_subject_verb-in_question_with_aux,0.488
agreement_subject_verb-in_simple_question,0.506
anaphor_agreement-pronoun_gender,0.498
argument_structure-dropped_argument,0.828
argument_structure-swapped_arguments,0.7105
argument_structure-transitive,0.4455
binding-principle_a,0.5745
case-subjective_pronoun,0.723
ellipsis-n_bar,0.696
filler-gap-wh_question_object,0.7115
filler-gap-wh_question_subject,1.0
irregular-verb,0.4805
island-effects-adjunct_island,0.492
island-effects-coordinate_structure_constraint,0.55
local_attractor-in_question_with_aux,0.7205
npi_licensing-matrix_question,0.2335
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.6335
quantifiers-superlative,0.2245
