sentence1	PPL1	Sentence2	PPL2	Correct
your grandmother that hears these doctors could hate themselves .	8.892768859863281	your grandmother that hears these doctors could hate herself .	8.854602813720703	correct
the doctors who talk about Anne were n't talking about herself .	7.0384979248046875	the doctors who talk about Anne were n't talking about themselves .	7.123404502868652	incorrect
that king that knows these doctors had talked about themselves .	7.197636604309082	that king that knows these doctors had talked about himself .	7.294259548187256	incorrect
these teachers that can n't see your sister looked like herself .	7.386163711547852	these teachers that can n't see your sister looked like themselves .	7.339651584625244	correct
my teachers who have talked about Scott had n't talked about himself .	5.965908527374268	my teachers who have talked about Scott had n't talked about themselves .	6.050678730010986	incorrect
your wife that noticed Eric had noticed himself .	8.856698036193848	your wife that noticed Eric had noticed herself .	8.878840446472168	incorrect
these children that think about my mom hate herself .	8.076794624328613	these children that think about my mom hate themselves .	7.8877129554748535	correct
my friends who wo n't love April hear herself .	8.804117202758789	my friends who wo n't love April hear themselves .	8.834348678588867	incorrect
the king who loves your friends does n't sound like themselves .	7.562291622161865	the king who loves your friends does n't sound like himself .	7.439192771911621	correct
this man that heard the children did n't hear themselves .	7.380429744720459	this man that heard the children did n't hear himself .	7.3317413330078125	correct
those people that have n't thought about your mom forgot herself .	6.535211563110352	those people that have n't thought about your mom forgot themselves .	6.576172351837158	incorrect
these children who were talking about your mother have n't seen herself .	6.696513652801514	these children who were talking about your mother have n't seen themselves .	6.62028694152832	correct
the teachers that heard your mother sounded like herself .	7.10664701461792	the teachers that heard your mother sounded like themselves .	7.056210994720459	correct
that girl that loves my brother likes himself .	7.649868488311768	that girl that loves my brother likes herself .	7.800372123718262	incorrect
your mom that was n't talking about my teachers looked like themselves .	7.131187915802002	your mom that was n't talking about my teachers looked like herself .	7.251462936401367	incorrect
my brother that may look like Julie had remembered herself .	7.676344394683838	my brother that may look like Julie had remembered himself .	7.568800449371338	correct
the lady that did n't love these people could remember themselves .	7.578823089599609	the lady that did n't love these people could remember herself .	7.5704755783081055	correct
