sentence1	PPL1	Sentence2	PPL2	Correct
Should the doctor the council support would wait?	8.00413990020752	Would the doctor the council should support wait?	8.810020446777344	incorrect
Can't the prince the student believe would report the news?	7.089725971221924	Would the prince the student can't believe report the news?	7.3565473556518555	incorrect
Might the doctor the child ask could buy the book?	8.17394733428955	Could the doctor the child might ask buy the book?	7.349801540374756	correct
Might the father the child follow won't write the book?	6.946032524108887	Won't the father the child might follow write the book?	6.591831207275391	correct
Must the girl the student join won't arrive?	8.722651481628418	Won't the girl the student must join arrive?	7.897017002105713	correct
Does the player the other player reach out to might sell the car?	7.251497268676758	Might the player the other player does reach out to sell the car?	6.563462257385254	correct
Didn't the professor the captain lead couldn't support the position?	7.529181480407715	Couldn't the professor the captain didn't lead support the position?	6.539046764373779	correct
Shouldn't the father the teacher call won't talk?	6.068798065185547	Won't the father the teacher shouldn't call talk?	6.620181083679199	incorrect
Mustn't the president the student follow must meet the team?	7.455989360809326	Must the president the student mustn't follow meet the team?	7.239981174468994	correct
Mustn't the king the child follow can sit?	7.642551898956299	Can the king the child mustn't follow sit?	7.563059329986572	correct
Will the player the other player hit shouldn't reach the agreement?	6.24385404586792	Shouldn't the player the other player will hit reach the agreement?	5.580869674682617	correct
Can the father the teacher invite would help the family?	7.154284477233887	Would the father the teacher can invite help the family?	6.809169769287109	correct
Did the king the woman marry doesn't hold the line?	6.997176170349121	Doesn't the king the woman did marry hold the line?	7.12145471572876	incorrect
Couldn't the professor the friend trust can sit?	7.834011077880859	Can the professor the friend couldn't trust sit?	8.292886734008789	incorrect
Won't the wife the president invite would reach the goal?	7.373257160186768	Would the wife the president won't invite reach the goal?	7.7416300773620605	incorrect
Won't the doctor the student trust might move to the house?	6.673398971557617	Might the doctor the student won't trust move to the house?	7.324787616729736	incorrect
Might the prince the friend tell the story to does keep the record?	7.839111328125	Does the prince the friend might tell the story to keep the record?	6.563197612762451	correct
Doesn't the president the soldier attack might trust the assistant?	7.7132649421691895	Might the president the soldier doesn't attack trust the assistant?	8.05622673034668	incorrect
Can't the lady the player trust could leave?	7.989374160766602	Could the lady the player can't trust leave?	7.82844877243042	correct
Couldn't the mother the child see did end the war?	6.256025314331055	Did the mother the child couldn't see end the war?	6.528739929199219	incorrect
Won't the prince the student trust might believe the story?	7.29355525970459	Might the prince the student won't trust believe the story?	7.897550106048584	incorrect
Can't the doctor the student follow did serve the people?	7.878092288970947	Did the doctor the student can't follow serve the people?	7.8805341720581055	incorrect
Shouldn't the princess the leader lead may fight for the cup?	6.563663959503174	May the princess the leader shouldn't lead fight for the cup?	6.6223015785217285	incorrect
Couldn't the mother the woman believe in may study the science?	6.647528648376465	May the mother the woman couldn't believe in study the science?	6.43873929977417	correct
Could the president the other president meet won't choose the team?	7.211012840270996	Won't the president the other president could meet choose the team?	6.894242286682129	correct
Did the professor the player join mustn't walk?	8.618412971496582	Mustn't the professor the player did join walk?	8.273968696594238	correct
Won't the wife the doctor understand shouldn't work?	7.004628658294678	Shouldn't the wife the doctor won't understand work?	6.285247802734375	correct
Couldn't the professor the army kill didn't sit?	7.445329189300537	Didn't the professor the army couldn't kill sit?	8.072816848754883	incorrect
Doesn't the man the council support won't eat the food?	6.707884788513184	Won't the man the council doesn't support eat the food?	6.818927764892578	incorrect
Might the professor the parent like mustn't rest?	8.7216796875	Mustn't the professor the parent might like rest?	8.237065315246582	correct
Might the girl the friend call won't describe the picture?	7.948289394378662	Won't the girl the friend might call describe the picture?	7.114077568054199	correct
Didn't the president the man believe in won't try the method?	6.560879707336426	Won't the president the man didn't believe in try the method?	6.534881114959717	correct
Shouldn't the doctor the friend trust can't wait?	6.628461837768555	Can't the doctor the friend shouldn't trust wait?	7.038990497589111	incorrect
Couldn't the boy the doctor help mustn't wait?	6.877725601196289	Mustn't the boy the doctor couldn't help wait?	6.982626914978027	incorrect
Should the mother the player hit mustn't sit?	6.593663692474365	Mustn't the mother the player should hit sit?	7.317071437835693	incorrect
Might the daughter the student understand couldn't travel?	8.541926383972168	Couldn't the daughter the student might understand travel?	7.017518520355225	correct
Will the brother the student ask can sit?	8.577038764953613	Can the brother the student will ask sit?	8.758769989013672	incorrect
Could the brother the child ask didn't travel?	7.391829013824463	Didn't the brother the child could ask travel?	6.955977439880371	correct
Could the doctor the player join doesn't write the letter?	7.0849528312683105	Doesn't the doctor the player could join write the letter?	7.050225257873535	correct
Did the doctor the president lead could love the music?	8.630998611450195	Could the doctor the president did lead love the music?	8.050719261169434	correct
Did the wife the man hit should rest?	9.058674812316895	Should the wife the man did hit rest?	7.969712257385254	correct
Might the professor the council support may show the support to the man?	7.540952682495117	May the professor the council might support show the support to the man?	7.155050754547119	correct
Can't the professor the professor teach may put the name on the book?	6.728475570678711	May the professor the professor can't teach put the name on the book?	6.433041572570801	correct
Mustn't the wife the mother tell the story to can't sell the goods?	6.02083683013916	Can't the wife the mother mustn't tell the story to sell the goods?	5.4995293617248535	correct
Won't the professor the woman love can't stand?	7.726365566253662	Can't the professor the woman won't love stand?	7.669321537017822	correct
Doesn't the prince the president invite didn't live with the family?	6.132559776306152	Didn't the prince the president doesn't invite live with the family?	5.799149990081787	correct
May the professor the soldier attack couldn't travel?	8.53380012512207	Couldn't the professor the soldier may attack travel?	7.7213850021362305	correct
Could the king the teacher tell the story to might open the account?	6.817689418792725	Might the king the teacher could tell the story to open the account?	6.727919578552246	correct
Did the mother the father tell the story to mustn't swim?	6.8653364181518555	Mustn't the mother the father did tell the story to swim?	6.25925874710083	correct
Will the girl the doctor help does earn the money?	8.006540298461914	Does the girl the doctor will help earn the money?	7.236625671386719	correct
Can the princess the leader meet shouldn't feed the birds?	7.715561866760254	Shouldn't the princess the leader can meet feed the birds?	6.664348125457764	correct
Mustn't the mother the soldier attack can't lie down?	6.801285266876221	Can't the mother the soldier mustn't attack lie down?	6.501715660095215	correct
Didn't the mother the teacher understand mustn't fight for the title?	6.337346076965332	Mustn't the mother the teacher didn't understand fight for the title?	5.93562650680542	correct
Doesn't the princess the player hit can't work?	6.8353729248046875	Can't the princess the player doesn't hit work?	6.739892482757568	correct
Shouldn't the father the student ask will swim?	7.19788932800293	Will the father the student shouldn't ask swim?	7.800671577453613	incorrect
Couldn't the wife the player hit can't run?	6.395730495452881	Can't the wife the player couldn't hit run?	7.0996413230896	incorrect
Could the president the student see shouldn't send the news?	6.8725175857543945	Shouldn't the president the student could see send the news?	6.043037414550781	correct
Did the wife the student join must travel?	9.289252281188965	Must the wife the student did join travel?	9.61274528503418	incorrect
Mustn't the lady the player trust can't perform the song?	6.644267559051514	Can't the lady the player mustn't trust perform the song?	6.2407379150390625	correct
Should the brother the teacher teach can't make the money?	6.495116233825684	Can't the brother the teacher should teach make the money?	7.093815326690674	incorrect
Won't the player the government support might support the family?	7.2891998291015625	Might the player the government won't support support the family?	7.263164520263672	correct
Does the king the student believe in can work?	8.080395698547363	Can the king the student does believe in work?	7.643514156341553	correct
Couldn't the boy the president meet can lie down?	6.879701137542725	Can the boy the president couldn't meet lie down?	7.6441969871521	incorrect
Doesn't the brother the teacher tell the story to can work?	6.54303503036499	Can the brother the teacher doesn't tell the story to work?	6.043031692504883	correct
Might the king the player hit can read the paper?	7.820910453796387	Can the king the player might hit read the paper?	7.727486610412598	correct
Should the professor the woman see did manage the project?	7.207042694091797	Did the professor the woman should see manage the project?	7.844179630279541	incorrect
May the father the teacher ask can move?	8.739158630371094	Can the father the teacher may ask move?	8.72590160369873	correct
Shouldn't the president the teacher teach does keep the record?	6.900538921356201	Does the president the teacher shouldn't teach keep the record?	7.122171401977539	incorrect
Does the brother the police find could play with the team?	7.698284149169922	Could the brother the police does find play with the team?	7.5884528160095215	correct
Would the girl the teacher understand could add the number?	7.767805099487305	Could the girl the teacher would understand add the number?	7.64440393447876	correct
Would the princess the minister serve shouldn't send the letter?	6.993890762329102	Shouldn't the princess the minister would serve send the letter?	6.582474708557129	correct
Does the daughter the government support mustn't watch the television?	7.61051607131958	Mustn't the daughter the government does support watch the television?	7.562200546264648	correct
Will the lady the boy hit shouldn't wait?	7.380561351776123	Shouldn't the lady the boy will hit wait?	6.625006675720215	correct
Would the man the friend support must rest?	7.951399326324463	Must the man the friend would support rest?	8.267203330993652	incorrect
Must the doctor the teacher meet couldn't move?	8.322996139526367	Couldn't the doctor the teacher must meet move?	6.935037136077881	correct
Couldn't the wife the student find could arrive?	7.330820560455322	Could the wife the student couldn't find arrive?	8.261961936950684	incorrect
Mustn't the doctor the student ask won't move?	7.286459922790527	Won't the doctor the student mustn't ask move?	6.975095272064209	correct
Couldn't the wife the man love must marry the woman?	6.039027690887451	Must the wife the man couldn't love marry the woman?	7.059994697570801	incorrect
