sentence1	PPL1	Sentence2	PPL2	Correct
Who aren't most waitresses alarming most hospitals that hadn't talked about?	6.857884407043457	Who aren't most hospitals that hadn't talked about most waitresses alarming?	7.014579772949219	incorrect
Who hasn't Cheryl attacked this sister of these dancers who shocked?	8.658035278320312	Who hasn't this sister of these dancers who shocked Cheryl attacked?	8.261258125305176	correct
Who should some grandsons of Janice hate Lawrence's lawyers who have scared?	7.665066719055176	Who should Lawrence's lawyers who have scared some grandsons of Janice hate?	7.335118293762207	correct
Who hadn't Jennifer's colleague embarrassed some driver who would fire?	8.215129852294922	Who hadn't some driver who would fire Jennifer's colleague embarrassed?	7.677232265472412	correct
Who haven't Deborah's tutors loved these fathers of Gerald who impressed?	8.273616790771484	Who haven't these fathers of Gerald who impressed Deborah's tutors loved?	7.582343101501465	correct
Who couldn't Carmen observe nephews of Victoria that did conceal?	7.973753929138184	Who couldn't nephews of Victoria that did conceal Carmen observe?	7.789746284484863	correct
Who wouldn't Katherine forget all mothers of Florence who disturbed?	7.857645511627197	Who wouldn't all mothers of Florence who disturbed Katherine forget?	7.702971458435059	correct
Who couldn't a movie about politics upset some teacher's piano teachers that were criticizing?	6.721664905548096	Who couldn't some teacher's piano teachers that were criticizing a movie about politics upset?	6.6448655128479	correct
Who weren't the dancers admiring these people that had hated?	6.681247711181641	Who weren't these people that had hated the dancers admiring?	6.286997318267822	correct
Who did Anna's dentists disturb this actor that wouldn't astound?	7.231748580932617	Who did this actor that wouldn't astound Anna's dentists disturb?	6.88075065612793	correct
Who was Tonya approaching Gary's lawyer who could respect?	6.976025104522705	Who was Gary's lawyer who could respect Tonya approaching?	7.2076239585876465	incorrect
Who haven't Tonya's daughters questioned Edward's plumbers that had listened to?	7.370475769042969	Who haven't Edward's plumbers that had listened to Tonya's daughters questioned?	7.372076988220215	incorrect
What can't some actor argue about a guest who would like?	6.277708053588867	What can't a guest who would like some actor argue about?	5.992125988006592	correct
Who wasn't Samuel healing that actor's father who can't bore?	7.129647731781006	Who wasn't that actor's father who can't bore Samuel healing?	6.617598056793213	correct
Who was Kevin approaching Andrew's ex-wife who isn't insulting?	5.746958255767822	Who was Andrew's ex-wife who isn't insulting Kevin approaching?	5.940157413482666	incorrect
Who is Janice listening to Bill's nephew that won't attack?	5.9476470947265625	Who is Bill's nephew that won't attack Janice listening to?	5.972321510314941	incorrect
Who is that actress's podiatrist thinking about that cashier who knew?	7.016047477722168	Who is that cashier who knew that actress's podiatrist thinking about?	6.656768321990967	correct
