,best
wh_vs_that_with_gap,0.492
wh_questions_subject_gap,0.893
wh_vs_that_with_gap_long_distance,0.153
adjunct_island,0.768
anaphor_gender_agreement,0.84
anaphor_number_agreement,0.96
animate_subject_passive,0.732
animate_subject_trans,0.849
causative,0.725
complex_NP_island,0.481
coordinate_structure_constraint_complex_left_branch,0.625
coordinate_structure_constraint_object_extraction,0.676
determiner_noun_agreement_1,0.939
determiner_noun_agreement_2,0.967
determiner_noun_agreement_irregular_1,0.764
determiner_noun_agreement_irregular_2,0.909
determiner_noun_agreement_with_adj_2,0.913
determiner_noun_agreement_with_adj_irregular_1,0.83
determiner_noun_agreement_with_adj_irregular_2,0.815
determiner_noun_agreement_with_adjective_1,0.895
distractor_agreement_relational_noun,0.616
distractor_agreement_relative_clause,0.559
drop_argument,0.554
ellipsis_n_bar_1,0.633
ellipsis_n_bar_2,0.727
existential_there_object_raising,0.602
existential_there_quantifiers_1,0.987
existential_there_quantifiers_2,0.332
existential_there_subject_raising,0.825
expletive_it_object_raising,0.642
inchoative,0.708
intransitive,0.581
irregular_past_participle_adjectives,0.831
irregular_past_participle_verbs,0.818
irregular_plural_subject_verb_agreement_1,0.779
irregular_plural_subject_verb_agreement_2,0.811
left_branch_island_echo_question,0.658
left_branch_island_simple_question,0.746
matrix_question_npi_licensor_present,0.195
npi_present_1,0.473
npi_present_2,0.538
only_npi_licensor_present,0.894
only_npi_scope,0.544
passive_1,0.715
passive_2,0.651
principle_A_c_command,0.655
principle_A_case_1,1.0
principle_A_case_2,0.889
principle_A_domain_1,0.974
principle_A_domain_2,0.639
principle_A_domain_3,0.549
principle_A_reconstruction,0.361
regular_plural_subject_verb_agreement_1,0.784
regular_plural_subject_verb_agreement_2,0.815
sentential_negation_npi_licensor_present,0.977
sentential_negation_npi_scope,0.408
sentential_subject_island,0.354
superlative_quantifiers_1,0.774
superlative_quantifiers_2,0.908
tough_vs_raising_1,0.498
tough_vs_raising_2,0.792
transitive,0.722
wh_island,0.584
wh_questions_object_gap,0.764
wh_questions_subject_gap_long_distance,0.951
wh_vs_that_no_gap,0.966
wh_vs_that_no_gap_long_distance,0.982
