sentence1	PPL1	Sentence2	PPL2	Correct
what does that person keep those hats while dropping ?	7.0204877853393555	what does that person keep while dropping those hats ?	7.0929059982299805	incorrect
where would that dentist return to the bank before leaving ?	6.006138324737549	where would that dentist return to before leaving the bank ?	6.155997276306152	incorrect
what had that customer held these cars before holding ?	7.915685176849365	what had that customer held before holding these cars ?	7.249184608459473	correct
what are the ladies throwing the rocket after buying ?	6.806811332702637	what are the ladies throwing after buying the rocket ?	6.780604362487793	correct
what could these people make those plates after bringing ?	6.984388828277588	what could these people make after bringing those plates ?	6.315474510192871	correct
what has the patient held the book without dropping ?	6.7932209968566895	what has the patient held without dropping the book ?	6.493298530578613	correct
who has the patient visited that boy after working with ?	7.279891490936279	who has the patient visited after working with that boy ?	6.796277046203613	correct
what are those girls breaking the toy before breaking ?	6.757540702819824	what are those girls breaking before breaking the toy ?	7.054450511932373	incorrect
what have these children found that bicycle while holding ?	6.806341171264648	what have these children found while holding that bicycle ?	6.466660976409912	correct
what have those doors broken the books without breaking ?	6.9922380447387695	what have those doors broken without breaking the books ?	6.454588413238525	correct
who will the dentist appreciate the lady while listening to ?	6.436408519744873	who will the dentist appreciate while listening to the lady ?	6.467244625091553	incorrect
where were the boys walking through that school while leaving ?	5.5904316902160645	where were the boys walking through while leaving that school ?	5.696290493011475	incorrect
what is this teacher cleaning these trucks before shaking ?	7.366666316986084	what is this teacher cleaning before shaking these trucks ?	7.947096824645996	incorrect
what could that book break the crayons without breaking ?	6.215291976928711	what could that book break without breaking the crayons ?	6.26674747467041	incorrect
who has this man scared this dentist while teaching ?	8.14755916595459	who has this man scared while teaching this dentist ?	7.850122451782227	correct
what would these guys fix these bottles before fixing ?	7.096212863922119	what would these guys fix before fixing these bottles ?	6.511393070220947	correct
what has that person taken those beds while finding ?	7.773669719696045	what has that person taken while finding those beds ?	7.146923542022705	correct
what had this girl talked about this customer without talking about ?	5.52758264541626	what had this girl talked about without talking about this customer ?	5.164621829986572	correct
what have these women lost those chairs while moving ?	7.058843612670898	what have these women lost while moving those chairs ?	6.514161586761475	correct
who has the dentist worked with those teachers without talking to ?	6.9879631996154785	who has the dentist worked with without talking to those teachers ?	6.790447235107422	correct
what do these men take the candles after cleaning ?	6.838415622711182	what do these men take after cleaning the candles ?	6.001173973083496	correct
what can this crayon break the dishes without breaking ?	6.015938758850098	what can this crayon break without breaking the dishes ?	5.7461113929748535	correct
what could this dish break these cars before breaking ?	7.8637237548828125	what could this dish break before breaking these cars ?	7.50628137588501	correct
who have those people found the boys before working with ?	7.136780738830566	who have those people found before working with the boys ?	6.689548492431641	correct
what could the guys take this car while dropping ?	6.853331089019775	what could the guys take while dropping this car ?	6.583588600158691	correct
what have these doctors lost the cars while finding ?	7.360490798950195	what have these doctors lost while finding the cars ?	6.941656589508057	correct
what is the teacher breaking that box without breaking ?	6.4530930519104	what is the teacher breaking without breaking that box ?	6.682762145996094	incorrect
where were those doctors walking through this kitchen while running around ?	6.111460208892822	where were those doctors walking through while running around this kitchen ?	6.2932915687561035	incorrect
what have the children seen these bowls before thinking about ?	6.099998950958252	what have the children seen before thinking about these bowls ?	5.7291364669799805	correct
who was this teacher listening to that person before teaching ?	6.3083415031433105	who was this teacher listening to before teaching that person ?	6.66968297958374	incorrect
who did the woman answer these people after teaching ?	7.455979347229004	who did the woman answer after teaching these people ?	7.044320106506348	correct
what did the dentist shake the buttons after bringing ?	7.011210918426514	what did the dentist shake after bringing the buttons ?	7.073063373565674	incorrect
where will the patient drive to that kitchen while going to ?	6.034215927124023	where will the patient drive to while going to that kitchen ?	5.613806247711182	correct
who is that person helping the patient while visiting ?	6.110291957855225	who is that person helping while visiting the patient ?	6.123842716217041	incorrect
who does that king teach that girl before bothering ?	7.933348178863525	who does that king teach before bothering that girl ?	7.570433139801025	correct
what were those horses breaking the plate without breaking ?	6.643420219421387	what were those horses breaking without breaking the plate ?	6.746309757232666	incorrect
what would this doctor move these boxes without shaking ?	7.38726282119751	what would this doctor move without shaking these boxes ?	7.698703289031982	incorrect
what has the king found these dishes before losing ?	6.7491230964660645	what has the king found before losing these dishes ?	6.659182071685791	correct
what should these plates break this mirror without breaking ?	7.50358247756958	what should these plates break without breaking this mirror ?	6.737632751464844	correct
what could this boy love that ring before thinking about ?	6.470823764801025	what could this boy love before thinking about that ring ?	6.143526077270508	correct
who will the women care for the dentist while helping ?	6.2507643699646	who will the women care for while helping the dentist ?	5.995814800262451	correct
what can this adult hold those bags before buying ?	6.8520708084106445	what can this adult hold before buying those bags ?	6.793839931488037	correct
what did that queen see this cat before thinking about ?	6.587880611419678	what did that queen see before thinking about this cat ?	6.055510997772217	correct
what is this guy dropping this fork while bringing ?	6.7191290855407715	what is this guy dropping while bringing this fork ?	6.561037063598633	correct
who will this dentist praise the girl after bothering ?	7.805059909820557	who will this dentist praise after bothering the girl ?	7.615687847137451	correct
who has this queen confused this dentist without talking to ?	8.129332542419434	who has this queen confused without talking to this dentist ?	7.643279552459717	correct
what had this teacher remembered that window while thinking about ?	6.5650177001953125	what had this teacher remembered while thinking about that window ?	6.556058406829834	correct
what is this person breaking this boat after breaking ?	6.531393527984619	what is this person breaking after breaking this boat ?	6.07863712310791	correct
who can this queen visit those girls without helping ?	7.6162848472595215	who can this queen visit without helping those girls ?	7.47584867477417	correct
what will the woman make those cars without taking ?	6.688841342926025	what will the woman make without taking those cars ?	6.453106880187988	correct
who should the lady worry the queen before visiting ?	7.144388198852539	who should the lady worry before visiting the queen ?	6.651725769042969	correct
