sentence1	PPL1	Sentence2	PPL2	Correct
Who aren't most waitresses alarming most hospitals that hadn't talked about?	6.466746807098389	Who aren't most hospitals that hadn't talked about most waitresses alarming?	6.623509883880615	incorrect
Who hasn't Cheryl attacked this sister of these dancers who shocked?	7.728584289550781	Who hasn't this sister of these dancers who shocked Cheryl attacked?	7.498283863067627	correct
Who should some grandsons of Janice hate Lawrence's lawyers who have scared?	7.090802192687988	Who should Lawrence's lawyers who have scared some grandsons of Janice hate?	7.34259033203125	incorrect
Who hadn't Jennifer's colleague embarrassed some driver who would fire?	6.673875331878662	Who hadn't some driver who would fire Jennifer's colleague embarrassed?	6.912553787231445	incorrect
Who haven't Deborah's tutors loved these fathers of Gerald who impressed?	7.794781684875488	Who haven't these fathers of Gerald who impressed Deborah's tutors loved?	7.930062770843506	incorrect
Who couldn't Carmen observe nephews of Victoria that did conceal?	7.775442600250244	Who couldn't nephews of Victoria that did conceal Carmen observe?	7.940016746520996	incorrect
Who wouldn't Katherine forget all mothers of Florence who disturbed?	7.978029251098633	Who wouldn't all mothers of Florence who disturbed Katherine forget?	8.05561637878418	incorrect
Who couldn't a movie about politics upset some teacher's piano teachers that were criticizing?	7.507761478424072	Who couldn't some teacher's piano teachers that were criticizing a movie about politics upset?	7.754201889038086	incorrect
Who weren't the dancers admiring these people that had hated?	6.521711349487305	Who weren't these people that had hated the dancers admiring?	6.399125576019287	correct
Who did Anna's dentists disturb this actor that wouldn't astound?	8.129873275756836	Who did this actor that wouldn't astound Anna's dentists disturb?	7.567854881286621	correct
Who was Tonya approaching Gary's lawyer who could respect?	8.132817268371582	Who was Gary's lawyer who could respect Tonya approaching?	8.0421724319458	correct
Who haven't Tonya's daughters questioned Edward's plumbers that had listened to?	7.508518695831299	Who haven't Edward's plumbers that had listened to Tonya's daughters questioned?	7.262294292449951	correct
What can't some actor argue about a guest who would like?	6.578423976898193	What can't a guest who would like some actor argue about?	6.214738368988037	correct
Who wasn't Samuel healing that actor's father who can't bore?	7.453904628753662	Who wasn't that actor's father who can't bore Samuel healing?	7.123405933380127	correct
