sentence1	PPL1	Sentence2	PPL2	Correct
Catherine sees herself joined this committee.	8.730269432067871	Catherine sees herself joining this committee.	8.926482200622559	incorrect
Gary sees himself joined this committee.	7.995288848876953	Gary sees himself joining this committee.	7.89382266998291	correct
The girl explains that the man believes in herself.	5.66644287109375	The girl explains that the man believes in himself.	5.68818473815918	incorrect
Jerry explains that the female player believes in himself.	5.954032897949219	Jerry explains that the female player believes in herself.	6.0057501792907715	incorrect
Kelly knows that the king enjoys herself.	6.576381206512451	Kelly knows that the king enjoys himself.	6.089834213256836	correct
Anthony knows that the female president enjoys himself.	6.978373050689697	Anthony knows that the female president enjoys herself.	7.042546272277832	incorrect
Kelly imagines herself enjoyed that music.	7.534616947174072	Kelly imagines herself enjoying that music.	7.151175022125244	correct
Anthony caught himself enjoyed that music.	8.298845291137695	Anthony caught himself enjoying that music.	7.4029693603515625	correct
Alice knows that the man introduces herself to others.	5.868968486785889	Alice knows that the man introduces himself to others.	5.3500800132751465	correct
William knows that the woman introduces himself to others.	5.725414752960205	William knows that the woman introduces herself to others.	5.719657897949219	correct
Alice pictures herself described the process.	7.8300557136535645	Alice pictures herself describing the process.	8.123273849487305	incorrect
William pictures himself described the process.	7.248729228973389	William pictures himself describing the process.	7.142354965209961	correct
Victoria explains that the father hides herself.	6.392820835113525	Victoria explains that the father hides himself.	6.0596489906311035	correct
Jack explains that his mother hides himself.	5.236459732055664	Jack explains that his mother hides herself.	5.44779634475708	incorrect
Sarah shows that her brother enjoys herself.	6.2602219581604	Sarah shows that her brother enjoys himself.	6.412535190582275	incorrect
Robert shows that the female president enjoys himself.	6.894640922546387	Robert shows that the female president enjoys herself.	7.022185802459717	incorrect
Sarah caught herself enjoyed the film.	7.466980457305908	Sarah caught herself enjoying the film.	6.352516174316406	correct
Robert caught himself enjoyed the film.	6.4335551261901855	Robert caught himself enjoying the film.	5.080743312835693	correct
The daughter imagines herself opened this door.	7.509252071380615	The daughter imagines herself opening this door.	7.588241100311279	incorrect
Dan imagines himself opened this door.	7.024974822998047	Dan imagines himself opening this door.	7.197096824645996	incorrect
Jane feels that the prince teaches herself French.	7.411470890045166	Jane feels that the prince teaches himself French.	6.68850564956665	correct
The king feels that the wife teaches himself French.	6.418539524078369	The king feels that the wife teaches herself French.	6.675149917602539	incorrect
Jane imagines herself taught the course.	7.30769157409668	Jane imagines herself teaching the course.	7.387022495269775	incorrect
The king saw himself taught the course.	6.784994602203369	The king saw himself teaching the course.	6.766993045806885	correct
Anna feels that the father depends on herself.	5.828093528747559	Anna feels that the father depends on himself.	5.601614952087402	correct
The male player feels that the wife depends on himself.	6.406909465789795	The male player feels that the wife depends on herself.	6.316370010375977	correct
Anna imagines herself lived with her parents.	6.065084934234619	Anna imagines herself living with her parents.	5.863769054412842	correct
The male player sees himself lived with his parents.	6.45392370223999	The male player sees himself living with his parents.	5.909926414489746	correct
Maria imagines herself finished a project.	7.641141414642334	Maria imagines herself finishing a project.	7.705621719360352	incorrect
Oliver imagines himself finished a project.	6.858040809631348	Oliver imagines himself finishing a project.	7.125113010406494	incorrect
The wife hears that the male player sees herself appear on television.	6.867574691772461	The wife hears that the male player sees himself appear on television.	6.846707820892334	correct
The father hears that the female president sees himself appear on television.	7.358142375946045	The father hears that the female president sees herself appear on television.	7.433530807495117	incorrect
The wife sees herself joined the party.	6.84238862991333	The wife sees herself joining the party.	6.890503406524658	incorrect
The father sees himself joined the party.	6.4943318367004395	The father sees himself joining the party.	6.52250337600708	incorrect
The lady heard that the brother introduced herself to others.	6.7528276443481445	The lady heard that the brother introduced himself to others.	6.908822536468506	incorrect
Adam heard that the female president introduced himself to others.	6.862191200256348	Adam heard that the female president introduced herself to others.	6.914726257324219	incorrect
The lady imagines herself started this project.	7.342411041259766	The lady imagines herself starting this project.	7.173230171203613	correct
Adam sees himself started this project.	7.775986194610596	Adam sees himself starting this project.	7.594284534454346	correct
The boy wrote that the lady protected himself.	6.892092704772949	The boy wrote that the lady protected herself.	6.850250244140625	correct
The boy pictures himself opened the museum.	7.524352073669434	The boy pictures himself opening the museum.	8.252886772155762	incorrect
Ann means that the father improves herself.	6.801126003265381	Ann means that the father improves himself.	6.327414035797119	correct
The male president means that the lady improves himself.	7.1604156494140625	The male president means that the lady improves herself.	7.2374138832092285	incorrect
The female doctor sees herself threw this ball.	8.307848930358887	The female doctor sees herself throwing this ball.	7.892132759094238	correct
John sees himself threw this ball.	8.201793670654297	John sees himself throwing this ball.	7.209107875823975	correct
The female president explains that the prince saves herself.	6.770535469055176	The female president explains that the prince saves himself.	6.442022323608398	correct
The prince explains that the girl saves himself.	6.794036865234375	The prince explains that the girl saves herself.	6.957052230834961	incorrect
The girl hears that the male player supports herself.	6.546766757965088	The girl hears that the male player supports himself.	6.61807107925415	incorrect
Stephen hears that the female doctor supports himself.	6.816007614135742	Stephen hears that the female doctor supports herself.	6.76207971572876	correct
Alice sees that the father supports herself.	6.8989434242248535	Alice sees that the father supports himself.	6.416226387023926	correct
Adam sees that the daughter supports himself.	7.771981239318848	Adam sees that the daughter supports herself.	7.637416839599609	correct
Alice sees herself raised some children.	8.33883285522461	Alice sees herself raising some children.	8.0206937789917	correct
Adam sees himself raised some children.	8.5415620803833	Adam sees himself raising some children.	8.079862594604492	correct
The woman means to say that the brother protected herself.	6.191054344177246	The woman means to say that the brother protected himself.	6.110040664672852	correct
Paul means to say that the girl protected himself.	6.018424034118652	Paul means to say that the girl protected herself.	5.980590343475342	correct
The woman imagines herself designed that program.	7.356797218322754	The woman imagines herself designing that program.	7.253807067871094	correct
Paul imagines himself designed that program.	6.573643684387207	Paul imagines himself designing that program.	6.396430015563965	correct
The female professor learns that the male professor sees herself appear on television.	6.589909076690674	The female professor learns that the male professor sees himself appear on television.	6.6113057136535645	incorrect
The man learns that the girl sees himself appear on television.	6.204473972320557	The man learns that the girl sees herself appear on television.	6.202642440795898	correct
The female professor imagines herself joined this team.	7.631685256958008	The female professor imagines herself joining this team.	7.761593341827393	incorrect
The man imagines himself joined this team.	6.800936698913574	The man imagines himself joining this team.	7.099612712860107	incorrect
Mary understands that the male doctor saved herself.	6.522037506103516	Mary understands that the male doctor saved himself.	6.327291011810303	correct
Matt understands that the girl saved himself.	5.968508720397949	Matt understands that the girl saved herself.	5.953303813934326	correct
Mary knows that the male professor introduced herself to others.	7.2634806632995605	Mary knows that the male professor introduced himself to others.	7.2560272216796875	correct
Carl knows that the wife introduced himself to others.	7.083535671234131	Carl knows that the wife introduced herself to others.	6.844160556793213	correct
Ruth imagines herself won this game.	7.413786888122559	Ruth imagines herself winning this game.	7.241579532623291	correct
