sentence1	PPL1	Sentence2	PPL2	Correct
A lot of patients who can sell some couch didn't investigate itself.	6.056398868560791	A lot of patients who can sell some couch didn't investigate themselves.	5.928450584411621	correct
A lot of actresses that thought about Alice healed herself.	6.668638706207275	A lot of actresses that thought about Alice healed themselves.	6.797909736633301	incorrect
A guy that has seen the wheelbarrow notices itself.	6.946317195892334	A guy that has seen the wheelbarrow notices himself.	6.6489787101745605	correct
The children that were complaining about Gregory hated himself.	6.492215633392334	The children that were complaining about Gregory hated themselves.	6.53834867477417	incorrect
Every boy that isn't selling the grocery stores isn't healing themselves.	4.797394752502441	Every boy that isn't selling the grocery stores isn't healing himself.	4.966269493103027	incorrect
The hospitals that talk to Ann talked to herself.	6.70734167098999	The hospitals that talk to Ann talked to themselves.	6.57520055770874	correct
Many skirts that stun some waitress are boring herself.	9.04454517364502	Many skirts that stun some waitress are boring themselves.	8.495776176452637	correct
All men that might fire Tiffany have worked with herself.	7.527919292449951	All men that might fire Tiffany have worked with themselves.	7.42483377456665	correct
That actress who admired the cup praises itself.	6.5973896980285645	That actress who admired the cup praises herself.	6.407811641693115	correct
This lady who is healing Charles wasn't hiding himself.	6.353882789611816	This lady who is healing Charles wasn't hiding herself.	6.759453773498535	incorrect
Every woman that was hiring the Borgias argued about themselves.	6.776072025299072	Every woman that was hiring the Borgias argued about herself.	7.062447547912598	incorrect
Every lady who does walk through a lot of movie theaters hadn't hugged themselves.	5.608532905578613	Every lady who does walk through a lot of movie theaters hadn't hugged herself.	5.654079437255859	incorrect
These doctors who do leave Melissa fled from herself.	8.09063720703125	These doctors who do leave Melissa fled from themselves.	7.684957981109619	correct
These ladies that hadn't forgotten Victoria fled from herself.	6.454597473144531	These ladies that hadn't forgotten Victoria fled from themselves.	6.31742525100708	correct
The customers who embarrass Kevin are discussing himself.	8.873735427856445	The customers who embarrass Kevin are discussing themselves.	8.505305290222168	correct
Some steak that scares Stacy doesn't shock herself.	7.29209566116333	Some steak that scares Stacy doesn't shock itself.	7.600701332092285	incorrect
All ladies who were bothering Dan observed himself.	8.477633476257324	All ladies who were bothering Dan observed themselves.	8.134698867797852	correct
The woman who hadn't taken a screen should respect itself.	5.823606014251709	The woman who hadn't taken a screen should respect herself.	5.789980411529541	correct
Most women who were arriving at every hospital fired itself.	7.311354160308838	Most women who were arriving at every hospital fired themselves.	6.827339172363281	correct
Some hill that could distract Barbara is alarming herself.	9.01890754699707	Some hill that could distract Barbara is alarming itself.	9.032915115356445	incorrect
A lot of senators who climbed down the hill hired itself.	6.3415985107421875	A lot of senators who climbed down the hill hired themselves.	5.963730812072754	correct
The dancers who haven't shocked Candice aren't appreciating herself.	6.514509201049805	The dancers who haven't shocked Candice aren't appreciating themselves.	6.317228317260742	correct
A legislature that wouldn't criticize Patrick hasn't helped himself.	6.853199481964111	A legislature that wouldn't criticize Patrick hasn't helped itself.	7.2280497550964355	incorrect
Most guests who were revealing Colleen weren't complaining about herself.	6.287693023681641	Most guests who were revealing Colleen weren't complaining about themselves.	5.914334774017334	correct
A guy who hasn't annoyed Laura argued about herself.	6.607330322265625	A guy who hasn't annoyed Laura argued about himself.	6.564675807952881	correct
That company that had known Sandra annoyed herself.	7.938060760498047	That company that had known Sandra annoyed itself.	8.040353775024414	incorrect
Those senators who had a slope have cared for itself.	6.284175395965576	Those senators who had a slope have cared for themselves.	5.816913604736328	correct
A cat that hasn't impressed Joseph couldn't distract himself.	7.305001258850098	A cat that hasn't impressed Joseph couldn't distract itself.	7.884543418884277	incorrect
Some association that had forgotten Claire insults herself.	7.440939903259277	Some association that had forgotten Claire insults itself.	7.64097261428833	incorrect
That plane that was scaring Wendy has disgusted herself.	8.563332557678223	That plane that was scaring Wendy has disgusted itself.	8.63896656036377	incorrect
The dancer who has brought those fish could care for themselves.	6.135347843170166	The dancer who has brought those fish could care for herself.	6.218276500701904	incorrect
Some boy that disturbed Jill could argue about herself.	7.77287483215332	Some boy that disturbed Jill could argue about himself.	7.5748114585876465	correct
Some woman that was exploring some hill can't think about itself.	5.950677394866943	Some woman that was exploring some hill can't think about herself.	5.7564215660095215	correct
All actors that disgust Veronica escaped from herself.	8.144219398498535	All actors that disgust Veronica escaped from themselves.	7.782464504241943	correct
Some museum that doesn't like a waitress was praising herself.	5.792153835296631	Some museum that doesn't like a waitress was praising itself.	5.802135467529297	incorrect
These pies that were embarrassing Jennifer are annoying herself.	8.356553077697754	These pies that were embarrassing Jennifer are annoying themselves.	8.120966911315918	correct
The book that is disgusting dancers would irritate themselves.	6.853970527648926	The book that is disgusting dancers would irritate itself.	7.229928493499756	incorrect
The drivers who attack Jodi haven't revealed herself.	6.607469081878662	The drivers who attack Jodi haven't revealed themselves.	6.170531749725342	correct
A lot of adults that scared Stacey talked to herself.	6.70668363571167	A lot of adults that scared Stacey talked to themselves.	6.462647438049316	correct
A girl that wouldn't watch Omar questions himself.	6.75945520401001	A girl that wouldn't watch Omar questions herself.	7.042051315307617	incorrect
The men who weren't confusing Valerie were kissing herself.	7.822999000549316	The men who weren't confusing Valerie were kissing themselves.	7.634128093719482	correct
Some guests who didn't discover Melissa were visiting herself.	5.818141460418701	Some guests who didn't discover Melissa were visiting themselves.	5.9847917556762695	incorrect
A lot of waiters who weren't boring Joseph would heal himself.	6.061193943023682	A lot of waiters who weren't boring Joseph would heal themselves.	6.169053554534912	incorrect
Some organizations that haven't respected Nicole hadn't worked with herself.	6.047488212585449	Some organizations that haven't respected Nicole hadn't worked with themselves.	6.001621246337891	correct
Some dancer who isn't admiring mushrooms thinks about themselves.	7.132766246795654	Some dancer who isn't admiring mushrooms thinks about herself.	7.387156963348389	incorrect
These actors who think about Russell won't remember himself.	6.193480968475342	These actors who think about Russell won't remember themselves.	6.0304155349731445	correct
All cashiers who will respect Florence criticized herself.	7.911891937255859	All cashiers who will respect Florence criticized themselves.	7.938190460205078	incorrect
This book that hurt Kirsten has disagreed with herself.	6.513782501220703	This book that hurt Kirsten has disagreed with itself.	6.305525779724121	correct
These adults that won't listen to Janice impressed herself.	6.6506500244140625	These adults that won't listen to Janice impressed themselves.	6.4828314781188965	correct
The actors that were escaping from Carrie had cured herself.	6.6886887550354	The actors that were escaping from Carrie had cured themselves.	6.527018070220947	correct
Every government that boasted about Amanda wasn't embarrassing herself.	6.548935890197754	Every government that boasted about Amanda wasn't embarrassing itself.	6.558561325073242	incorrect
Some cucumbers that can embarrass Amanda disgusted herself.	9.456018447875977	Some cucumbers that can embarrass Amanda disgusted themselves.	9.038447380065918	correct
Some association that would astound Gregory had scared himself.	7.943142890930176	Some association that would astound Gregory had scared itself.	8.651583671569824	incorrect
The customers that descend every hill can praise itself.	8.068988800048828	The customers that descend every hill can praise themselves.	7.596445083618164	correct
That woman who had noticed John fled from himself.	6.586245059967041	That woman who had noticed John fled from herself.	6.9613261222839355	incorrect
Some beef that had annoyed this dancer is stunning herself.	8.29362964630127	Some beef that had annoyed this dancer is stunning itself.	8.08544921875	correct
These guests that haven't discovered Caroline had seen herself.	6.474311351776123	These guests that haven't discovered Caroline had seen themselves.	6.126885414123535	correct
A library that has stunned Samantha criticized herself.	8.517820358276367	A library that has stunned Samantha criticized itself.	8.778019905090332	incorrect
Every actress who observed Eric kissed himself.	8.571821212768555	Every actress who observed Eric kissed herself.	8.825858116149902	incorrect
Every girl that hadn't disgusted Travis can't approach himself.	6.4449567794799805	Every girl that hadn't disgusted Travis can't approach herself.	6.40540885925293	correct
Every woman that noticed some library respects itself.	8.89659309387207	Every woman that noticed some library respects herself.	8.797143936157227	correct
Senators who disagree with Thomas can't heal himself.	6.493302822113037	Senators who disagree with Thomas can't heal themselves.	6.441832065582275	correct
The dancers that argue about Beverly observed herself.	8.345447540283203	The dancers that argue about Beverly observed themselves.	7.979279041290283	correct
The turtles that were boring Christine disgusted herself.	8.948928833007812	The turtles that were boring Christine disgusted themselves.	8.430709838867188	correct
These doctors that didn't flee from Michael visited himself.	6.979691505432129	These doctors that didn't flee from Michael visited themselves.	6.932506084442139	correct
Some guy who is visiting some lakes cares for themselves.	6.3133769035339355	Some guy who is visiting some lakes cares for himself.	6.033985137939453	correct
Those students that looked like this print fired itself.	7.124114990234375	Those students that looked like this print fired themselves.	6.603586673736572	correct
Some girl who researches committees boasts about themselves.	6.464883327484131	Some girl who researches committees boasts about herself.	6.953792095184326	incorrect
All customers who would drive to every river haven't returned to itself.	6.724882125854492	All customers who would drive to every river haven't returned to themselves.	6.394425868988037	correct
That dog that wasn't boring Jason scared himself.	6.79451322555542	That dog that wasn't boring Jason scared itself.	7.502162456512451	incorrect
That woman that hated Scott hadn't talked about himself.	6.070013523101807	That woman that hated Scott hadn't talked about herself.	6.186074733734131	incorrect
Some women that would approach Pamela had cured herself.	7.535121440887451	Some women that would approach Pamela had cured themselves.	7.393134117126465	correct
This committee that is referencing Gina works with herself.	6.927833080291748	This committee that is referencing Gina works with itself.	7.252091884613037	incorrect
The rabbits that won't look like a painting disturbed itself.	6.523943901062012	The rabbits that won't look like a painting disturbed themselves.	6.190746307373047	correct
A lot of boys who hadn't appreciated some river were working with itself.	6.157526969909668	A lot of boys who hadn't appreciated some river were working with themselves.	5.9052510261535645	correct
The river that impressed Cindy is impressing herself.	8.269092559814453	The river that impressed Cindy is impressing itself.	8.083154678344727	correct
Most children who astounded Larry have seen himself.	7.961476802825928	Most children who astounded Larry have seen themselves.	7.3646721839904785	correct
Customers who love Russell had investigated himself.	9.119884490966797	Customers who love Russell had investigated themselves.	8.959404945373535	correct
Some company that discussed James discusses himself.	7.916531562805176	Some company that discussed James discusses itself.	8.305374145507812	incorrect
That couch that shouldn't aggravate all women was annoying themselves.	5.919551372528076	That couch that shouldn't aggravate all women was annoying itself.	6.103612899780273	incorrect
Wheelbarrows that shocked the company distracted itself.	7.100067138671875	Wheelbarrows that shocked the company distracted themselves.	6.70785665512085	correct
These shoes that irritate Omar hurt himself.	8.432107925415039	These shoes that irritate Omar hurt themselves.	7.946339130401611	correct
An association that conceals Laurie insulted herself.	8.323099136352539	An association that conceals Laurie insulted itself.	8.827362060546875	incorrect
That fish that astounded this actress hadn't scared herself.	7.149036884307861	That fish that astounded this actress hadn't scared itself.	7.429771423339844	incorrect
That lady that was examining the movies remembers themselves.	7.196112632751465	That lady that was examining the movies remembers herself.	7.335755348205566	incorrect
Most waitresses that couldn't think about some vase had disliked itself.	7.065552234649658	Most waitresses that couldn't think about some vase had disliked themselves.	6.819212913513184	correct
Most boys who have confused Kristin hadn't concealed herself.	6.55655574798584	Most boys who have confused Kristin hadn't concealed themselves.	5.953476905822754	correct
Most doctors that are running around this library did love itself.	6.37659215927124	Most doctors that are running around this library did love themselves.	6.108965873718262	correct
The adults that scared Mary are approaching herself.	7.904143333435059	The adults that scared Mary are approaching themselves.	7.603736877441406	correct
The customers who distracts the guy would investigate himself.	7.161696910858154	The customers who distracts the guy would investigate themselves.	7.40552282333374	incorrect
Most cars that astound Catherine irritated herself.	9.734281539916992	Most cars that astound Catherine irritated themselves.	9.067371368408203	correct
The woman who loves Theodore notices himself.	7.620254993438721	The woman who loves Theodore notices herself.	7.916699409484863	incorrect
Most women that passed the hill won't conceal itself.	6.109436511993408	Most women that passed the hill won't conceal themselves.	5.760054111480713	correct
A girl that is fleeing from Derek wasn't discovering himself.	6.083498954772949	A girl that is fleeing from Derek wasn't discovering herself.	6.331016540527344	incorrect
Some children who leave Erin are observing herself.	7.293453216552734	Some children who leave Erin are observing themselves.	6.513757705688477	correct
Most waitresses that praised Ruth aren't appreciating herself.	6.1075897216796875	Most waitresses that praised Ruth aren't appreciating themselves.	6.276268005371094	incorrect
Some legislatures that haven't argued about Jeffrey worked with himself.	7.024059295654297	Some legislatures that haven't argued about Jeffrey worked with themselves.	7.166532516479492	incorrect
The organization that has disliked many books insults themselves.	7.049335479736328	The organization that has disliked many books insults itself.	7.242504119873047	incorrect
Those fish that are embarrassing Catherine aren't disgusting herself.	7.714474678039551	Those fish that are embarrassing Catherine aren't disgusting themselves.	7.216022491455078	correct
This girl who boasted about some book could hate itself.	6.2076640129089355	This girl who boasted about some book could hate herself.	6.091927528381348	correct
A lot of banks that weren't talking to Kayla will forget herself.	6.018231391906738	A lot of banks that weren't talking to Kayla will forget themselves.	6.171952724456787	incorrect
These committees that don't work with Frank will dislike himself.	6.526770114898682	These committees that don't work with Frank will dislike themselves.	6.138715744018555	correct
An actress that wasn't boasting about Todd isn't discovering himself.	5.736356735229492	An actress that wasn't boasting about Todd isn't discovering herself.	5.8843994140625	incorrect
Some companies that were hurting David don't criticize himself.	6.360532283782959	Some companies that were hurting David don't criticize themselves.	5.83626127243042	correct
All dancers who passed the college campus can hate itself.	7.411375522613525	All dancers who passed the college campus can hate themselves.	7.050534248352051	correct
All universities that aggravated Carmen shouldn't astound herself.	7.721109867095947	All universities that aggravated Carmen shouldn't astound themselves.	7.405688285827637	correct
This unicycle that shouldn't hurt Suzanne will disturb herself.	7.468749046325684	This unicycle that shouldn't hurt Suzanne will disturb itself.	7.4889235496521	incorrect
That waitress who talked about many malls observed themselves.	7.657522678375244	That waitress who talked about many malls observed herself.	8.10362720489502	incorrect
That eggplant that astounded Douglas disturbs himself.	7.424957275390625	That eggplant that astounded Douglas disturbs itself.	7.310781002044678	correct
Every girl that should bike to some hospitals had attacked themselves.	6.91240930557251	Every girl that should bike to some hospitals had attacked herself.	6.9861273765563965	incorrect
All teenagers that wouldn't sell that vase discovered itself.	7.530181884765625	All teenagers that wouldn't sell that vase discovered themselves.	7.064927101135254	correct
People who weren't discussing Laurie didn't sound like herself.	6.023982048034668	People who weren't discussing Laurie didn't sound like themselves.	5.75536584854126	correct
A lot of boys that don't fix a cup remembered itself.	5.55341911315918	A lot of boys that don't fix a cup remembered themselves.	5.373790740966797	correct
Senators that conceal Danielle haven't forgotten herself.	8.1878023147583	Senators that conceal Danielle haven't forgotten themselves.	8.337607383728027	incorrect
Dancers who kiss Bradley have astounded himself.	7.4398722648620605	Dancers who kiss Bradley have astounded themselves.	7.406364440917969	correct
