sentence1	PPL1	Sentence2	PPL2	Correct
A lot of patients who can sell some couch didn't investigate itself.	6.751315593719482	A lot of patients who can sell some couch didn't investigate themselves.	6.416024208068848	correct
A lot of actresses that thought about Alice healed herself.	6.684681415557861	A lot of actresses that thought about Alice healed themselves.	7.20159387588501	incorrect
A guy that has seen the wheelbarrow notices itself.	6.185577392578125	A guy that has seen the wheelbarrow notices himself.	6.129210948944092	correct
The children that were complaining about Gregory hated himself.	5.8982696533203125	The children that were complaining about Gregory hated themselves.	5.867197513580322	correct
Every boy that isn't selling the grocery stores isn't healing themselves.	5.640036106109619	Every boy that isn't selling the grocery stores isn't healing himself.	5.57082462310791	correct
The hospitals that talk to Ann talked to herself.	7.59758996963501	The hospitals that talk to Ann talked to themselves.	7.464876651763916	correct
Many skirts that stun some waitress are boring herself.	6.368577003479004	Many skirts that stun some waitress are boring themselves.	6.3266496658325195	correct
All men that might fire Tiffany have worked with herself.	7.475893497467041	All men that might fire Tiffany have worked with themselves.	7.573279857635498	incorrect
That actress who admired the cup praises itself.	7.053089618682861	That actress who admired the cup praises herself.	6.758513450622559	correct
This lady who is healing Charles wasn't hiding himself.	7.101179599761963	This lady who is healing Charles wasn't hiding herself.	7.0194597244262695	correct
Every woman that was hiring the Borgias argued about themselves.	7.339846611022949	Every woman that was hiring the Borgias argued about herself.	7.09213399887085	correct
Every lady who does walk through a lot of movie theaters hadn't hugged themselves.	5.170169353485107	Every lady who does walk through a lot of movie theaters hadn't hugged herself.	5.001270294189453	correct
These doctors who do leave Melissa fled from herself.	7.912510871887207	These doctors who do leave Melissa fled from themselves.	8.114763259887695	incorrect
These ladies that hadn't forgotten Victoria fled from herself.	6.786117076873779	These ladies that hadn't forgotten Victoria fled from themselves.	6.848073959350586	incorrect
The customers who embarrass Kevin are discussing himself.	8.055109024047852	The customers who embarrass Kevin are discussing themselves.	7.8533477783203125	correct
Some steak that scares Stacy doesn't shock herself.	6.438820838928223	Some steak that scares Stacy doesn't shock itself.	6.474030494689941	incorrect
All ladies who were bothering Dan observed himself.	7.624699592590332	All ladies who were bothering Dan observed themselves.	7.518216133117676	correct
The woman who hadn't taken a screen should respect itself.	5.611405849456787	The woman who hadn't taken a screen should respect herself.	5.233422756195068	correct
Most women who were arriving at every hospital fired itself.	6.7962965965271	Most women who were arriving at every hospital fired themselves.	6.280957221984863	correct
Some hill that could distract Barbara is alarming herself.	6.917478084564209	Some hill that could distract Barbara is alarming itself.	7.22250509262085	incorrect
A lot of senators who climbed down the hill hired itself.	6.574368953704834	A lot of senators who climbed down the hill hired themselves.	6.168412208557129	correct
The dancers who haven't shocked Candice aren't appreciating herself.	5.901759624481201	The dancers who haven't shocked Candice aren't appreciating themselves.	5.853326797485352	correct
A legislature that wouldn't criticize Patrick hasn't helped himself.	6.080702304840088	A legislature that wouldn't criticize Patrick hasn't helped itself.	6.165753364562988	incorrect
Most guests who were revealing Colleen weren't complaining about herself.	5.943858623504639	Most guests who were revealing Colleen weren't complaining about themselves.	5.9730730056762695	incorrect
A guy who hasn't annoyed Laura argued about herself.	5.670976638793945	A guy who hasn't annoyed Laura argued about himself.	5.78018856048584	incorrect
That company that had known Sandra annoyed herself.	6.679304122924805	That company that had known Sandra annoyed itself.	7.012247562408447	incorrect
Those senators who had a slope have cared for itself.	6.708747863769531	Those senators who had a slope have cared for themselves.	6.318691253662109	correct
A cat that hasn't impressed Joseph couldn't distract himself.	5.875474452972412	A cat that hasn't impressed Joseph couldn't distract itself.	6.093950271606445	incorrect
Some association that had forgotten Claire insults herself.	7.475412368774414	Some association that had forgotten Claire insults itself.	7.759084224700928	incorrect
That plane that was scaring Wendy has disgusted herself.	6.560189247131348	That plane that was scaring Wendy has disgusted itself.	6.809292316436768	incorrect
The dancer who has brought those fish could care for themselves.	6.368050575256348	The dancer who has brought those fish could care for herself.	6.424724578857422	incorrect
Some boy that disturbed Jill could argue about herself.	7.013116359710693	Some boy that disturbed Jill could argue about himself.	7.2299065589904785	incorrect
Some woman that was exploring some hill can't think about itself.	6.363925933837891	Some woman that was exploring some hill can't think about herself.	6.036168575286865	correct
All actors that disgust Veronica escaped from herself.	7.221789836883545	All actors that disgust Veronica escaped from themselves.	7.508182048797607	incorrect
Some museum that doesn't like a waitress was praising herself.	5.959438323974609	Some museum that doesn't like a waitress was praising itself.	6.150027275085449	incorrect
These pies that were embarrassing Jennifer are annoying herself.	6.184504985809326	These pies that were embarrassing Jennifer are annoying themselves.	6.219712734222412	incorrect
